instruction,response,category
كيفاش نجم نلقى دي موديل متاع سي في بروفيسيونال؟,استعمل (Canva) Overleaf للـ جماعة اللي يحبوا الـ (LaTeX). ابعد على لـ موديل الـ قدم متاع الـ 'وورد' اللي معبيين بالـ ألوان الزايدة.,student_life
تنجم تقلي شنوة حكاية التاجر والفقير في سوق الربع؟,تاجر غني ضيع صرة فلوس، لقاها فقير ورجعها له. التاجر حب يغدره وقالو 'كان فيها مية، تو فيها تسعين'. مشاو للقاضي، القاضي فهم اللعبة وقالو 'مادام ضيعت مية وهذي فيها تسعين، يعني مش متاعك'. اعطى الفلوس للفقير، والتاجر الطماع خسر كل شي.,storytelling
شنوة الفرق بين المزود والزكرة في الصوت والاستعمال؟,المزود صوتو 'خنّان' وفيه بحّة تونسية قحة، ويستعمل خزان هواء (الشكوة) اللي يخلي الصوت متواصل. الزكرة صوتها أحدّ وأقوى ببرشة، وما فيهاش شكوة، العازف ينفخ مباشرة في 'الأنيبة'. الزكرة سومها أرفق شوية (بين 250 و600 دينار) وتستعمل برشة في المحافل الكبيرة في الهواء الطلق.,general_knowledge
تنجم تقلي كيفاش ننظف الـ Laptop بتاعي من غير ما يفسد؟,استعمل قطعة قماش Microfiber وشوية كحول طبي، وابعد على الماء كومبليتمون.,task_oriented
تنجم تقلي علاش كِي نمس المرفق في حرف الطاولة نضربني الضو؟,خاطر فمة عصب يتسمى 'العصب الزندي' (Nerf ulnaire) يتعدى ديريكت فوق العظم في البلاصة هذيك وماهووش محمي بالشحم. كِي يتخبط، يبعث إشارة الكتريك قوية تحسها 'ضربة ضو' في يدك الكل.,advice_guidance
شنوة أحسن لوجيسيال لعمل الـ كوفيرتير متاع البي اف او؟,الفاك عادة توفر 'تمبليت' (Template) جاهزة وورد ولا ليتيكس لازم تلتزم بيها. إذا عندك حرية، استعمل 'كانفا' (Canva) ولا 'أدوبي إن ديزاين' باش تطلع حاجة 'كلين' و 'برو'.,student_life
ديما نتكلم وأنا راقد وأهلي يفيقوا بيا، شنوة الحل؟ راني باش نسكن مع أصحابي وحاشم.,هذا ستريس وتوتر مخبي. لازمك تعمل حصص استرخاء (Relaxation) وتحاول تنظم نومك وتبعد على التعب قبل ما ترقد.,advice_guidance
كيفاش نحل معادلة تكعيبية من النوع x³ - 4x² + 6x - 24 = 0؟,"نجموا نحلوها بطريقة التحليل بالتجميع (Factorization by grouping). نجمعوا أول زوز حدود مع بعضهم وآخر زوز حدود:
(x³ - 4x²) + (6x - 24) = 0
نخرجوا x² عامل مشترك من الأول و 6 من الثاني:
x²(x - 4) + x - 4 = 0
توة نخرجوا (x - 4) كعامل مشترك:
(x - 4)(x² + 6) = 0
بما أن حاصل الضرب يساوي صفر، يعني إما x - 4 = 0 (ومنها x = 4)، ولا x² + 6 = 0 (وهذي ما عندهاش حل حقيقي على خاطر المربع دائماً موجب). إذن الحل الحقيقي الوحيد هو x = 4.",general_knowledge
ماشية للحج ونحب نحبس البريود باش ما تقلقنيش. شنوة الدواء وكيفاش ناخذه؟,تنجم تستعمل حرابش Primolut، كعبة مرتين في النهار قبل وقت البريود بجمعة وتكملها طول فترة الحج. حجة مبرورة وربي يتقبل.,advice_guidance
شنوة هو البورغلي وكيفاش يطيب؟,البرغلي هو قمح مفور ومجفف ومجروش، يطيبوه التوانسة جاري بالخضرة والقديد، ولا مفور كيما الكسكسي باللحم والحمص.,cultural_knowledge
عندي بقعة زرقاء في بدني طلعت وحدها، شنوة هذي؟,ساعات عروق صغيرة (Capillaires) تطرشق من غير ما تشعر. أما كان بدأت تظهر برشة وبلا سبب، لازم تحليل دم (NFS) نثبتوا في 'الصفائح' (صفائح دموية).,advice_guidance
"أشنو الفرق بين المعنى الحرفي والمعنى الحقيقي تاع ""تزوج بن عمي فرحت أنا، قلت الكل عمارة بيت""؟",بالحرف تعني: تزوج ولد عمي ففرحت، قلت الكل بناء للبيت العائلي. أما اللي يقصدوه الناس بالحق: عرس ولاد العم يفرح العايلة كلها خاطر يقوي الروابط.,cultural_knowledge
تنجم تقلي كيفاش نتعامل مع الـ اناليز متاع الـ داتا الكبيرة في الـ ميموار؟,استعمل دي لوجيسیيل كيما (SPSS) ولا (Python/Pandas). الـ 'اتوماسيون' (Automation) تربحك برشة وقت وتخلي الـ 'ريزولتا' متاعك 'اكورات' (Accurate).,student_life
كيفاش تكتشف التخدير قبل ما يعملوا العمليات؟,قبل القرن 19، العمليات كانت 'عذاب' والمريض يحس بكل شيء. في 1846، طبيب أسنان اسمه 'ويليام مورتون' استعمل غاز 'الإيثر' ونجح باش يرقد مريض وما يحس بحتى وجيعة. الاكتشاف هذا كان أعظم رحمة للبشرية، خاطر سمح للأطباء باش يعملوا عمليات معقدة وطويلة في راحة تامة للمريض.,general_knowledge
كيفاش نجم نكون Efficace في الـ روشيرش اونلاين؟,استعمل لـ 'كي-ووردز' (Keywords) الدقيقة. تعلم تستعمل لـ 'اوبراتور' (Operators) كيما 'AND' و 'OR' في 'قوقل' باش تخرج الـ 'ريزولتا' اللي تحب عليها بـ 'بيسيزيون'.,student_life
شنوة قصة المنتخب التونسي للكرة الطائرة وتألقه في إفريقيا؟,تونس هي ملكة إفريقيا في الكرة الطائرة. المنتخب التونسي هز بطولة إفريقيا 11 مرة وشارك في الألعاب الأولمبية وفي كاس العالم برشا مرات. الكرة الطائرة في تونس عندها تقاليد كبيرة، وفرق كيف 'الترجي' و'النادي الصفاقسي' و'النجم الساحلي' هما اللي يمولوا في المنتخب بملاعبية كبار. التونسي يحب الفولي خاطر جابتلنا برشا قدر وشرفت الراية الوطنية في كل المحافل.,cultural_knowledge
سمعت بحكاية الدار اللي تصفّر في حومة القلعة؟,ثمة دار في القلعة الكبرى مهجورة من سنين، يقولوا كل ما تهب الريح تسمع صوت تصفير يشبه للنداء. واحد دخل يثبت، لقى بيت معبية بآلات موسيقية قديمة ومصددة. فجأة البيانو بدا يعزف وحده وصوت التصفير قوى لين الحجر بدا يرعش. هرب الراجل ويقولوا اللي يسكنها روح فنان مات وحيد ومازال يحب شكون يسمعه.,storytelling
شنوة أحسن وقت باش الواحد يجي لتونس، وكيفاش يكون الطقس وقتها؟,"أحسن الأوقات باش تزور تونس هي:
• فصل الربيع (من مارس لماي)
• فصل الخريف (من سبتمبر لنوفمبر)

في الفترات هذه، الطقس يكون معتدل برشة، درجات الحرارة بين 20 و25 درجة في النهار، وبين 10 و15 درجة في الليل، وهذا جو ممتاز باش تدور وتشوف المعالم الأثرية والطبيعة.

أما في من جوان لأوت، الدنيا تسخن برشة وتفوت 40 درجة في المناطق الدخلانية والجنوب، أما يكون جو باهي للسياحة في البحر في بلايص كيف الحمامات وسوسة.

في الشتاء (من ديسمبر لفيفري) الطقس يبرد ويولي فمة مطر، خاصة في الليل، وتكون فرصة باهية لزيارة العاصمة والقيروان، ولا باش تمشي للصحراء في دوز وتطاوين.",task_oriented
تنجم تقلي كيفاش نجم نكون اجيل في الـ خدمة متاعي؟,تعلم الـ ميتودولوجي (Scrum) ولا (Kanban). قسم خدمتك لـ 'سبرينتات' (Sprints) قصيرة وقيم تقدمك كل جمعة.,student_life
شنوّة الفرق بين ثريدينغ و ملتيبروسيسينغ في بايتون؟,الفرق بين ثريدينغ و ملتيبروسيسينغ أساسي في بايتون. بسبب الـ GIL (Global Interpreter Lock)، الـ ثريدينغ ما يعطيكش توازي (parallelism) حقيقي للكود — الثريدات تتشارك نفس الذاكرة اما ما يخدموش مع بعضهم في نفس الوقت بالحق. ثريدينغ باهي للمهام اللي تستنى برشا (I/O-bound) كيف التعامل مع الملفات ولا الشبكة. أما ملتيبروسيسينغ فيشغّل عمليات مستقلة، كل وحدة عندها ذاكرتها الخاصة، ويستغل كل قلوب المعالج (CPU cores) — مناسب للمهام اللي فيها حسابات ثقيلة (CPU-bound).,task_oriented
تنجم تقلي كيفاش نقنع شريكي في الخدمة اللي فكرتي هي الأحسن للمشروع؟,حضر حجج منطقية وأرقام واضحة تبين الفايدة اللي باش تزيدها فكرتك للخدمة. اسمع لرأيه هو زادة وحاول تدمج ملاحظاته باش يحس اللي هو شريك في القرار النهائي.,advice_guidance
وقتاش يولي انخفاض الضغط خطر بالرسمي ولازم جري للسبيطار؟,يولي خطر كِي يطيح فجأة ويعمل أعراض كيف الإغماء، الارتباك، وجيعة الصدر، ولا برودة البدن وشحوب الجلد. في الحالات هذي لازم الطوارئ ديريكت خاطر ينجم يعمل جلطة في المخ ولا سكتة قلبية ونقص أكسجين في الأعضاء.,general_knowledge
بعد نهار تعب وسهر، نمت وفقت مفزوع بوجيعة في صدري وركبتي تكبست، تخوف؟,هذا اجهاد وتعب Stress. كِي تبدأ تعبان برشة وموش راقد، البدن يعمل ردات فعل تشنجية وقت النوم. ارتاح وارقد مليح وتو ما عادش يرجعلك.,advice_guidance
تنجم تقلي شنوة رايك في استعمال الثوم لعلاج ثعلبة الشعر؟,حل 'قوي' وفعال برشة ومجرب في تونس. حك بلاصة الثعلبة بفص ثوم لين تحمار (باش تتحرك الدورة الدموية). الثوم فيه مواد تحفز البصيلات وتقتل الفطريات. النصيحة: رد بالك لو كانت جلدتك حساسة برشة لا تعمل حروق. هو من أنجح العلاجات الطبيعية اللي رجعت برشة عباد لشعرهم الطبيعي بعد ما فقدوا الأمل في الأدوية الكيميائية.,opinions_recommendations
علاش كِي نلبس صباط Flat ظهري يوجعني؟,الصباط البلاط ما يوزعش وزن البدن بالباهي على الساق، فالضغط الكل يمشي للظهر والركايب. المستحسن صباط فيه 'تعلية' خفيفة (2-3 سم) باش الظهر يرتاح.,advice_guidance
عندي كتمة في صدري والهواء محبوس بعد ما بكيت يومين، تخوف؟,هذا 'ضيق نفس' من الستريس والحزن. البدن يتشنج ويحسسك اللي النفس مقطوع. تنفس في ساشي ولا اعمل استرخاء وتو تسرح.,advice_guidance
علاش كِي نحطوا الثلج في مشروب غازي يعمل رغوة برشة ويفور؟,الغاز اللي في المشروب يحب يخرج. سطح الثلج فيه نقب ومسامات مجهرية تخدم كـنقاط تلم للغاز. كِي يمس المشروب الثلج، الغاز الكل يتلم في هاك النقب ويخرج مرة وحدة في شكل نفاخات، وهذا اللي يعمل الفورة القوية.,general_knowledge
ياخي الضحك ينقص الوجيعة؟,إي نعم! الضحك يخلي المخ يسيب 'الإندورفين' (Endorphines)، وهي مادة تشبه للـ 'مورفين' تسكن الوجيعة طبيعي وتطلع المعنويات.,advice_guidance
كيفاش نطلع شهادة كفاءة لسائق تاكسي؟,"تطلع من الوكالة الفنية للنقل ATTT:
1. النجاح في امتحان خاص (نظري وتطبيقي) لنقل الأشخاص.
2. شهادة طبية تثبت السلامة.
3. الحصول على 'البطاقة المهنية'.
4. الشهادة هذي هي اللي تخليه ينجم يخدم على تاكسي (سواء ملكو ولا ملاك آخر).",task_oriented
"شنيّة المَثَل إلّي يتقال كِي واحد يحب يستحفظ بقديمه ويقدره، خاطر يعرف اللي ""الصحبة الجديدة"" تنجم تطلع مصلحة وتوفى؟",يقولوا 'استحفظ على عتيقك، جديدك ما يدوملكش'. يعني الفائدة ديمة في الأصل والحاجة اللي جربتها وعرفتها في الشدة، وما تفرطش في اللي عندك على خاطر حاجة جديدة تنجم تطلع مظاهر وبرّة.,cultural_knowledge
يا دكتور، وليت نحس بـ رعشة في يديا كي نبدأ شاد كاس قهوة ولا نكتب، أما كي نرخي يدي تمشي، شنوة هذا؟,هذي تسمى الاكثرية 'الرعشة الأساسية' (رعشة أساسية) وتظهر خاصة مع المجهود ولا الستريس. هي تختلف على 'باركنسون' اللي يجي واليد مرتاحة. نقص من القهوة والدخان، وإذا الرعشة ولات تقلقك في خدمتك، فما أدوية (Bêta-bloquants) تنقص منها برشا وتخليك تتحكم في يدك أسهل.,advice_guidance
ديما نحس بحاجة واحلة في حلقي ونحب نرد، شنوة الحل؟,هذا الاكثرية 'رد فعل بلعومي' بسبب 'الجاير' (حموضة / ارتجاع) ولا حموضة المعدة اللي تطلع للحلق. نقص من المقلي والحار وكول وجبات صغيرة وتو يبرد الحلق.,advice_guidance
شكونهم أقوى رابورات في تاريخ الهيب هوب؟,فمة أسامي ما يتمسوش كيف 2Pac و Biggie. ومن بعدهم جا Eminem اللي بدل قواعد اللعبة. توة عندك Kendrick Lamar اللي يتسمى شاعر الراب المعاصر. في تونس، بلتي (Balti) قعد مسيطر سنين، وتوة فمة جيل جديد كيف كازو (Kaso) وسامارا (Samara) قاعدين يعملو في أرقام خيالية.,general_knowledge
كيفاش نداوي وجيعة الظهر متاع القعدة برشة؟,القعدة قدام الكومبيوتر تهري الظهر. طبق قاعدة 20-8-2: كل 20 دقيقة قعدة، 8 دقايق وقوف، و2 دقايق حركة. لازم الكرسي يكون مريح والشاشة في مستوى عينيك. تمارين تقوية الـ 'Core' هي الحل الجذري للوجيعة.,advice_guidance
تنجم تقلي شنوة حكم التصويرة في الدار؟,التصاور الفوتوغرافية للذكرى ما فيها حتى بأس، المهم ما تكونش تصاور فيها حاجة تخدش الحياء ولا تعظم في الشخص بطريقة غير شرعية.,cultural_knowledge
احكيلي على المرا اللي تمسح في الدموع في جامع القصبة.,يقولوا في ركن مضلم في جامع القصبة، تظهر مرا لابسة سفساري ابيض وتمسح دموع الناس اللي تبكي من الهم. اللي تمسحله على راسه، يخرج وقلبه مرتاح واموره تتسرح. هي روح طيبة تسكن الجامع وتعاون في المقهورين اللي يقصدوا ربي في بيت من بيوته.,storytelling
كيفاش نستثمر فلوسي بطريقة آمنة في تونس؟,الاستثمار في تونس فيه برشا خيارات. للأمان العالي: أذون Bons du Trésor هي الأكثر أمان على خاطر الدولة تضمنها. حسابات الادخار في البنوك تعطي فائدة معقولة. للمخاطرة المتوسطة: الصناديق المشتركة (SICAV) تعطيك تنويع وإدارة مهنية. الاستثمار في العقار يبقى من أقوى الخيارات في تونس. للمغامرين: البورصة التونسية فيها فرص اما لازمها دراسة. تذكر دائماً: نوع استثماراتك وما تحطش فلوسك الكل في بلاصة واحدة.,advice_guidance
نحب نطلع ترخيص لفتح محل Opticien؟,"تطلع من وزارة الصحة:
1. ديبلوم في البصريات ونظارات العيون.
2. محل مجهز بآلات القياس والتركيب.
3. كراس شروط يحدد المسافة بين المحلات.
4. معاينة فنية قبل الافتتاح.",task_oriented
نحب نسكن في فوايي بريفي قريب من الفاك، شنوة ليزافانتاج؟,الفوايي بريفي يكون فيه 'كونفور' أكثر (ويفي، بيت وحدك، نظافة)، أما السوم يكون أغلى ببرشا من الفوايي الجامعي. ثبت في 'الريغلمون' بتاعهم قبل ما تسني العقد.,student_life
وين حطيت الصباط الجديد؟,تلقاه في الكرطونة فوق الخزانة.,everyday_conversation
الخدام عندو الحق في تيكيات الماكلة؟,التيكيات موش فرض قانوني على الشركات الكل، هي ميزة تعطيها الشركات باش تعاون الخدامة في مصاريف الفطور، وتدخل في باب الامتيازات الاجتماعية.,general_knowledge
أقل كلمة تشعلني، نولي نعيط ونكسر وما نتحكمش في أعصابي، ومن بعد نندم برشا. هل فمة دواء يهدي الأعصاب؟,سرعة الانفعال تنجم تكون ناتجة على ضغط كبير (stress) ولا تراكمات. فمة أدوية تسمى 'معدلات المزاج' (thymorégulateurs) تنجم تعاون، أما الأهم هو إنك تتعلم تقنيات 'التحكم في الغضب'. كي تحس روحك باش تتغشش، ابعد من البلاصة، اشرب ماء، وتفكر إنو ردة فعلك باش تخسرك برشا حاجات. السبور زادة تعاونك باش تخرج الطاقة الزايدة.,advice_guidance
كيفاش نجم نكون اجيل في الـ خدمة متاعي؟,تعلم الـ Scrum ولا (Kanban). قسم خدمتك لـ 'سبرينتات' (Sprints) قصيرة وقيم تقدمك كل جمعة.,student_life
شنوة هي نقطة نيمو وعلاش تتسمى أبعد بلاصة على الأرض؟,نقطة نيمو هي بقعة في وسط المحيط الهادي بعيدة على أي يابسة بأكثر من 2600 كم. هي بعيدة لدرجة إن أقرب بشر ليك كي تبدأ غادي هما 'رواد الفضاء' اللي في المحطة الدولية (على بعد 400 كم فوقك). البلاصة هذي يستعملوها زادة كـ 'مقبرة' للأقمار الصناعية اللي طيح باش ما تضر حد.,general_knowledge
نحس بخوف كي ندخل في زحمة كبيرة متاع ناس في السوق؟,حاول تمشي في الجوانب وابعد على وسط الزحمة وركز على طريقك وما تثبتش في الوجوه بزاف. خوذ أنفاس عميقة وقول لروحك اللي انت في أمان وبالوقت باش تستانس.,advice_guidance
علاش القهوة مهمة برشة للعصبونات في المخ؟,العصبونات هي أكثر خلايا في البدن تستهلك طاقة. هي ما عندهاش مخزن للأكسجين، لازم يوصلها ديما طازج مع الدم. لو كان يقص الدم (والأكسجين) لدقائق ، العصبونات تبدأ تموت وتضيع وظائف مهمة كيف الذاكرة ولا الحركة.,general_knowledge
تنجم تقلي شنية الـ SIVP وفاش تنفع؟,هو عقد تربص تعاون الشركات باش تخلص أقل شارج، وتعطيك منحة من الدولة لمدة عام ولا عامين.,advice_guidance
عندي وجيعة قوية في البواسير كاينها حجرة لداخل، شنوة هذي؟,تنجم تكون 'تخثر' في باسور خارجي. الوجيعة تكون قوية برشة. لازم جراح يشوفها، ساعات تتطلب فتحة صغيرة باش يخرج الدم المتجمد وترتاح.,advice_guidance
نحيت اللولب والدم ما حبش يركح عنده 10 أيام، شنوة ناخذ؟,تنجم تاخذ 'دايسينون' (Dicynone) باش يحبس النزيف، أما كان الدم قعد يهبط برشة، لازم ترجع للطبيبة تثبت لا يكون جرح لداخل.,advice_guidance
عندي علاقة من شرجي، ياخي نخسر عذريتي؟,لا، العلاقة الشرجية ما تمسش 'غشاء البكارة'. الغشاء موجود في فتحة المهبل من قدام. أما رد بالك، عندها مشاكل صحية أخرى.,advice_guidance
نحس روحي ما عادش نتحمل ولادي، خوفي عليهم دمرني ووصلت نفكر في الانتحار، عاونوني!,بالله اسمعني، إنت توا في حالة 'احتراق نفسي' (Burn-out) قوية. الأفكار هذي خطر عليك وعلى ولادك. لازمك Psy اليوم قبل غدوة. إنت مريضة وتستحق دواء وراحة، مووش لوم.,advice_guidance
يا دكتور، صوابع يديا وساقيا يزراقوا ويثلجوا كي يبرد الطقس، وساعات يولي فيهم وجيعة وحكة؟,هذي تسمى 'متلازمة رينو' (Maladie de Raynaud). العروق الصغار يتكبسوا مع البرد والدم ما عادش يوصل للأطراف. لازمك تدفي يديك وساقيك مليح بالصوف، وابعد على الدخان خاطر يزید يسكّر العروق. إذا تبدل اللون للأبيض ولا الأزرق حتى في الصيف، وقتها لازم تحاليل باش نثبتوا في المناعة.,advice_guidance
كيفاش السمك يشرب الماء وهو عايش في وسطو؟ ياخي ما يعطشش؟,الحوت يشرب الماء أما بطريقة ذكية. حوت المالح بدنه ديما يخسر في الماء بسبب الملح البرّاني، فيشرب برشة ماء ويخرج الملح الزايد عن طريق الخياشم. أما حوت الوديان (الحلو)، ما يشربش الماء جملة بلسانه، هو يمتص الماء عبر جلده ويخرج البول 'حاشاك' مخفف برشة باش ما يتفلقش من كثرة الماء!,general_knowledge
شنوّة هي الكهرباء Électricité statique؟ وعلاش ساعات نتشوكوا كِي نمسو حديدة؟,كِي يتحكوا زوز مواد في بعضهم (كيف صباطك مع الزربية)، الكترونات تتنقل من بلاصة لبلاصة ويتلم 'شحن'. كِي تمس حاجة معدنية (ناقلة)، هاك الشحن يفرغ الكل في لحظة في يدك، فتحس بهذيك 'الضربة' الصغيرة والصوت متاع التشوك.,general_knowledge
كيفاش كلام أشرف الكعلي على الأرض المسطحة عمل ضجة في تونس؟ وشنوة كان رد جمعية علوم الفلك؟,"الإعلامي أشرف الكعلي قال اللي الأرض مسطحة وما عندهاش نهاية، واعتمَد في كلامه على فهمه لنصوص دينية وتاريخية. الكلام هذا عمل ضجة كبيرة في الفايسبوك التونسي، وبرشة ناس نقدوه واعتبروه يحب يعمل 'بوز' بإنكار حقيقية علمية.

الجمعية التونسية لعلوم الفلك خرجت بيان ونددت بكلامه، وقالت اللي حكاية 'تسطح الأرض' غلطة ومفندة علمياً عندها قرون، والأدلة الكل تقول اللي الأرض كروية. الجمعية حذرت اللي كلام كيف هذا ينشر الجهل بين الشباب، وطلبت من وسائل الإعلام تجيب مختصين باش يعطيوا المعلومة الصحيحة.",storytelling
شنوة القفّة التونسية وباش تتصنع؟,القفة تتصنع من 'السعف' (أوراق النخيل)، وتستعملها المرا للضيافة ولا لقضية السوق، وتوا ولات تتزركش بالدونتيل والخرز كأكسسوار موضة.,cultural_knowledge
آما خير نشري بي سي مكتبي ولا محمول؟,الحاسوب المكتبي يوفر أداء أقوى بنفس السوم، تبريد أحسن، وسهولة كبيرة في تصليح ولا تطوير Upgrade، أما مشكلته إنو ياخذ بلاصة وما يمشيش معاك. الحاسوب المحمول ميزته الأساسية هي التنقل، تنجم تخدم بيه في القهوة، في الجامعة، ولا في السفر، أما أداؤه يكون أضعف شوية وسومه أغلى في نفس المواصفات. إذا كنت تخدم في بلاصة قارة وتحب القوة القصوى (تصميم فيديوهات ولا ألعاب)، المكتبي خير. إذا كانت طبيعة حياتك فيها برشة حركة، المحمول لا مفر منه.,opinions_recommendations
تنصحني بـ استعمال الملحوظات الورقية ولا التطبيقات؟,الملحوظات الورقية تعاون على التذكر أحسن، فيها لمسة شخصية، وما تطلبش شحن ولا أنترنت. كيف Notion ولا Google Keep توفر تنظيم خيالي، بحث سريع، مزامنة بين التليفون واللابتوب، وتعيش للأبد. النصيحة: الورق للأفكار السريعة والتخطيط اليومي (To-do list). التطبيقات لتخزين المعلومات والمشاريع الطويلة. استعمل اللي يخليك أكثر إنتاجية.,opinions_recommendations
