Reference,Prediction
ويرحمني و إياكم في الدنيا و الآخرة,ويرحمني وإيكم في الدنيا والآخرة
إشك أناهي الحكومة إلي باش تدخل لك في اصلاحات خطيرة,اشكأه الحكومة ل بشتتخلك في إصلاحات خطيرة
وهو قاعد ستة شهر,وقعت ستشرم
إذن نحن بحاجة إلى مجلس تأسيسي إن ينجم ينظم كل هذا,أإذن نحن بحاجة إلى مجلس تأسيس نج من اظم كل هذا
الإدارة العامة للميترو طالبة خدامة و الإدارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,مدار العامل للميتروط أرب خدامة ردار العامل ولوزارم عبس طيبم لكنكول عليس
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الأسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,سقعجب ااخير برب حبيت متكلم برب الشفون للأثوام ختر غالية برسا  معش نجم نعيشون
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا أحنا وياها يجيبوا مسؤولين بربي يفهمونا,كفاش  عملة قاوانين اشباها المنظومذيكعطلكنا من الحدش في الخارج وتون ثانين تعرك حنويها أيجب المسئولين برب فهمنب
أقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,مما يسميم خنخد جميل معنا بالتليفون جمال
معانا محرز بالتليفون مرحبا,معن محرس بالتليفون مرحبهه
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للإقلاع التام على التدخين,كفش نجمإكون القرار هذية ناجح ووصل للإقلاع اللاتام على تدخيل
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,صدقم حتى فيالقاوىاحد معتم   عندي زملاوكيبمنديم معت جملا صحطيهم ونبعد نبعد هرهامعاش قن اقبل
لكن سا فا الحمد الله معناتها آه,لتب الحمد الله معدرح
إ يا إلي تتكيفوا شوفوا الباكو شنوا إلي مكتوب عليه,بلإل كيفو شوفو الباك شنون مكتوب عليه
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه أربعة و أربعين أعماركم معناها متقاربين برشا يحيى ثلاثة و أربعين,عي سيديتوب أيحي أنتيعاد لنتي ويحيا عربعين عماركم عن يمتقاربين برشا  يحي لربعين
عادل مرة أخرى نشكرك يعطيك الصحة,عاد المن رخرة نشكرك يعتيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة إذا كان باش يستانس يعني باش يكون حياتو كاملة,من لجم يركز كان لبلبلدخال هو مسسحيحة مجر لتصاور في مخور وبطبيع إذكن بشيستانس يعنبشكن حية كاملا
باش نولي عبد آخر كانوا وحش باش يولي,بشنولي عبداخركان وحش بشولا
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت إلى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا أحسن طريقة باش,لسجاخاة لجاغ يعني سواجر لخفيفة يخلايتي لأخيره خججويد لنس نختر  حس طريقة بش
باش تلبي هاكي الرغبة فهمتني,بشلب إكلو
آه سواء كان في بلادنا ولا حتى في العالم أجمع,ثنكن في بلادنا ولحتى في العالم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم إلي راهو,نقدروه نصحو به لحبلكل مع العلم إلراو
فيس في إستهلاك هاكي السيقارو,ف ه ل للسجرو
ال ها المنطق هذايا ما يعطيش أكلو مية في المية,الل المنطقذام يعتيش أكل مفلميا
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو,دكتر رهيشمعمي أعوين هو ضيفن اليومفلسديو
ثمة إدمان على مادة النيكوتين ثمة ناس إلي هوما,ثم إذمان على مدة النيكوتين الناس لهما
وربما تنجم تكون هيا ال,وربم نسمت كن هيإلل
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد أمورها الأمنية ما تعجبش,ولقل سنم فم  ميزانيام تعخلع لس دسالبليد أمورها الأمنية ماتعجبش
مرحبا أيه,انسلم  باش على ويسال حياة
شيء يدوخ لهنا أيه مطلقين من نهارت إلي هزيتها لطبيب سا يا طلقتها قال لي ماهيش حبلى,شي خلي بعد قديشم شر مفصلين انتم وقطها    من هرت لزيتلطبيب سيتلقتجلم شحبلا
بحضوركم إنتم التحليل déjà خلصتو في سبيطار,محثوركم انتم تحلي الدجا خلصت فالصبطا
أيه كهو بعد إمم مدة ص صغيرة عرسنا,هكا بد مدسغر عرسنا
أنا نغزر لربي موش نغزر ليك انت,أن نخزل لرب من ش نخزل لكنت
إلي هو لونو بنفسجي,لهو لون بن فسج
وذاك علاش اليوم جبت لكم هالمشرب,وذكعل ليمجب تلكم هل مشرب
حداش وتسعة مية شوف لي ألفين,أحداس التعميس برزيل
مرحبا مرحبا مرحبا,و محب
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي,معني بالنسبليك أن لخس كلامك سند أنتي بالنسبليك اليوم التونسي نفسن ينتاعب وعيدائي
معانا نزار شخ من تونس مك مرحبا,معن نزار من تونس مرحبيه
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم,معني دكليجمعافل ما درسا منا ليمقذن ما تسكلوش على حقوليتكم
بيرو المعلم ما فيه حتى شيء لوحة و,بروا المعلم مفيحة شيء لوحا
في هذا الكل الولي زادا يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هذا نرجعوا لو مرة اخرى في مواضيع اخرين,فيا هذا الكل ولي زد يقط الروح باشغير يكون حاذر العودة يتسلف بششرلفغنيغ شفع الثمنف اللخر اتلمبينسويغ في وست العام وإخر العام وهذا نرجعول مار أخرى في مواضهةخلن
أغلبية معناها التلامذة ما رسمتش,أغلبيت معن عتلامزمرثمت
كون في ال رنتره السنة الدراسية تكون على الأقل,لون فرطفيالفتحس رسية كون على قل
إلا أنو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك أنا,لأن المساف بعيدة والشركة التنسية لتوزع المياهة قل كنا
بالسلامة,بسلاما
أربعطاش,ربعطاش
عايش في الخيال,عاايش في الخيال
عنب,هعنب
عنصري,انصري
عطريا,اتريا
ثناش,سنش
خشم,خشم
خاتم,خاتم
حقة,حق
حلوف خبيث,حلوف اخبيح
حوات,هوت
حزار,حزار
حبلى حامل,حبل حامل
قريات,قريات
قاضي,قاي
بلاروسيا,بلرويا
إسبانيا,اسبانيا
الصومال,السمال
الهند,الهند
نمسا,ن مس
أكرانيا,كرن
سويسرا,سويصر
يا ممو عينيا,يم عينيا
أصلي,فلي
عالسلامة يسلمك,عسلما يسلمك
بالفرحة,بالفرح
بابا,باب
بنفسجي,بنفسزج
بيلت,بلت
بشع خايب يعيف,ببشاع خايب يعيف
بقر,ر
بيرو,بر
بليد,بليد
بوفي,بف
بوسا,ووسا
شفما جديد,ج فم جديت
شكون,شكون
شنوا آش,اشنو
شنوا هذا,اشنوى هذا
دبوزة,دوزا
dictionnaire,كت
ديون,دون
العشية,لش ي
نعزك برشا,نازك برشا
فديت ملا فدا,فدد ملفدا
فمة ثمة,فما ثما
فروج,فروج
فكرة,فكر
فرشتا فراشة,فرشيت فراشت
غاز,جاز
غراب,غراب
حاد,حاد
حر,حر
هوما,ههما
جلسة,الس
جرح,جرح
جواب,جوب
كراتي,كرت
كبير,جبير
كينو,كن
خزانة,خزن
كرهبة كراهب,كرهب كراهب
محل تجارى تجارى,محل جا تجارة
مقفول و كسكاس,مقفول كسكاس
مرحبا,مرحب
متواضع,متوعضع
ميتين,مم
ممتاز,متاز
موسيقى موزيكا,مسيق مزيك
نعرسو,نعرس
ناشط خفيف رشيق,ناشت اخفيف راشيق
نمل,ن مال
نهارك زين,ن ار  ز ين
نمر,ن مر
أوتوروت,أتروت
بابايا,فبايا
قبل,قبل
رغم انو,رغم أنه
رقبة,رقبه
رياضه,ريادا
rouge,روج
صعيب,صيب
سامحني دزولي,س من دزل
صبع صوابع,ب و ب
صفر,سفر
صغير,سسغير
سياده,سيد
سلاطة,سلات
سميد,سمد
سكر,سكر
صندوق إدخار,سندوق ديخار
سباغيتي,سبجت
سوايع,سوعيا
طبلا,تبلى
تنين,تن
تسعميه,تسع مير
