Reference,Prediction
و الله لا وراس لا و الله مقتنع و الله اسمعني cإي déjà,والله والله زلت مختنعة اللي تتحب تبطل جسبي لا ولا مختنعة وأنا أيقعد معايا
استفتاء,استفتى
يكري كرهبة,يتيك أحب
عبد الله مشى سأل طفلة,أفضل شيء إل طفلك
هذي غلطتي موش غلطتك,هذي غلتي مش غلطة
podcasting it makes my day على خاطر فمة عباد تسمع فيك و يهمها لي تحكي فيه و كل و they care about you و يخمموا معناها,podcasts and it makes my day على خط رفعة مع بيت اسمع فيك ويهمل اللي تحكي فيه وكلو they care about you ويخم معناها
يطفيو الضو خلي قطر ولا الامارات تهز حتى كأس الحومة توا تشوف دنيا كيفاش تتقلب,يطفي الضوء خلي قطر وإلا الإمارات تزح حتى كأس الحوما تود تشوف الدنيا كيفش تقلب
عبد الله سأل لمرا في القيشي,عبد الله سأل ما في هالشيء
كله كوم و ها قصر العداله الجديد إلي تبنا كوم آخر إلي هو خوك زكربرك ربي يفضله بنلنا ها القصر هذايا البلو,كل كوم ها قصر العدالة الجديد اللي تبنائه كوم آخر اللي هو خوّك زكربيرج ربي فضله بنى لنا القصر هذا البلو
إلي هو فيسبوك,اللي هو فيسبوك
يا اخويا ابنونا قصر عداله اسمه فيسبوك ولبسلنا المحامين الكل بالازرق,ياخوي يا أبني ونا قصر عدالة اسمه فيسبوك ولبسونا محامين الكل بالزرق
مع احتراماتي لكل المهن أنا نحترم المهن الكل سبابتهم فوق راسي,مع احترامتي لكل الميّان أنا احترم الميّان لكل سببته فقراسي
أما آش دخلك بربي عطار الحومه خضار جزار نجار على وزن ار الكلهم هذوما آش دخلكم تحب تولي قضاة,مش دخلك بربي عتار العوما خذ عار زار نزار على وزن آر الكلم أذومه ادخلكم تعبتوا لي قذات
تناقشوا في قضاه إلي هوما قارين قريت على روحك وليت قاضي,ليكشف في القضاة اللي هو مقارين قريت على روح كديوال القاضي
شنوا المناقش هاذيا الفيسبوك يبطل توا قصر العداله,شو هالمناقشة في فيسبوك يبطل توقف قصر العدالة؟
مدعي عمومي ولا النيابه العموميه ولا كذا يربع ايديهم ويستن سي زيد الزيادي وسي زعطوط إبن قال,مد عمومي ولا ن نقبل عمومية ولا كذا يا رب عوديهم ويستنى سيزيد زيادة يسيزعتوت من بو قال
في الفيسبوك بن شكون,في الفيسبوك شو
يحكموا هما بن بوقال بن بوقال اي,بالبقال
يحكموا هما اي نعم يحكموا هذوما الناس هذوما واحنا نسمعهم,يحكمهم أي نعم يحكموا ذمة نسذمة ونحن نسقونهم
بربي نقصهم من المناقشات في الامور هذي القانونيه وعاش من عرف قدره وجلس دونه دونه أنا معك,ربنا قصوا المناقشات في الأمور هذه القانونية وعاش من عرف قدره وجلست دونه
أما بعد نقول أيا توا الجمعة هذي مثلا أيا défi أنا من اليوم للنهار الإثنين باش نولي نركز فال classe و نولي نكتب,أما بعض نقول آية تو الجمع هذه مثلاً آية دي في أنا من اليوم نهار الاثنين مش نولي ركز في الكلاس نولي نكت
بوفريوى,بوفريوا
et cest pas par hasard quand on sadresse au professionnel كان ريتو يمكن ال rapport لخر متاع smart capital,وإيه، سِيَحَبَّ بَرَازَارَ قَنْ قَنْ صَدْرِ سَوَّى بَرَزَانِيَّةَ كَلِيْتُ يُمْكُنُ رَأْحُلَهُ خَرْمَ تَسْمَارَتَكَبِيْتَ
تحبشي تجي معايا,تحبش يجي معايا
و منعرفش شمعناها rang باهي و rang خايب جملة حاصيلو,مو نعرش معنها كرام به ورام خاي بجملة حاسيله شف
يقري,يقرر
وسائل الإعلام و إلي نشوفوا معناتها ناس ت ت,وسائل الإعلام وننشوف مع الناس ت
مشيت لحوانت السبور الكل في المدينة هذي,مشيت لحوينة السبار الكل في المدينة هذه
الصف,الصف
mais bon هوكا نجربوا on essaye on essaye de changer les choses هاذيكا le plus important أكثر حاجة تخاف منها تنجم تصيرلك في الخدمة,أكثر حاجة تاف من هذا نجوم تيرلك فين تدم
الفرصة هاذيا تنجمو تعملو طلة على صفحة البيرد غاديكا تاخطو أكثر تفاصيل و مهم نحاولو كل مرة نقدمو عدد من الفرص لل les startup ليوما إلي قاعدين في ظروف صعيبة هيا اليوم متفاهمين و لكن,الفرصة هذه نجمه تاملو طلع على صفحة البرد غادي كا تخلو أكثر تفاصيل ومهم نحاوله كل مرة قدموا عدد من فرص لل للستار تاب اليوم اللي قاعدين في ظروف صعبة هي اليوم متفهمين ولكن
الفولاي,إيه وعي
و قطعتني أمي يا سيد,وقطعتني أمي سجى
إي كريت بيت تحفونة غادي,أي كليت بيت تحفونا غد؟
قعدت قعدت يجي نص ساعة تسال فيا كان بالحق ولا نفدلك و,قاعدة الجنوسة السلفية كان بالحق ولا انفدلك
يجيوك برشا كلييونات,يجي مخفاشك ليه؟
أسمعني من الاول خوذ الميترو,اسمعني ماله خذ المترو
إلي موجودة عالنساء السودوات في العالم ككل,اللي موجودة على نصائح سوداء في العالم ككل
بعيد,بعيد
بطل خويا ماللي شاف بابا هكاكة وبابا بطل تويكة وآنا معناتها من جرة الدخان هذا أزمتيك déjà,بطل خيار مريشة وبطل بجوا وبطل صليحا وانا من تأزمتيك مجرد الدخان
يظهرلي نجم نلق كل شيء كان من القيتش توا نطلبك,يظهر للنجم نلقى كل شيء كان ملقيتش طو نطلبك
بارمي الأشياء أنو الإنسان ما عادش ينجم يتنفس بالباهي ما عادش تنجم تجري مع العلم إني قبل كنت نجري مع الفريق القومي وصلت نجري مع الفريق القومي,صار من الأشياء إنه اللي هنس ما عادش نجم يتنفس بالبيه مع عشان تجري مع على قلب إني قبل كنت نجري مع الفريق القومي وصلت تجري مع الفريق القومي
نهارين كاملين من نهار سبعة و عشرين اكتوبر وما خرجت كان نهار تسعة و عشرين اكتوبر النهار إلي ما لبستش فيه حوايج عاديين بل بالعاني لبست حوايج مرمدتهم ومسختهم بدلت ملامح وجها وعملت مكياج ما يشبهاش جمله واحده عملت روحها,دينارين كاملين من هار سبعة وعشرين أكتوبر وما خرجت كن هات تسعة وعشرين أكتوبر إن هار اللي ما لبسش فيه حويس عادين بل بالعاني لبسد حويس مرمدتهم ومسختهم بدلت ملي محوّجها وعملت ماكياج ما يشبه ليش جملة واحدة عملت رأس
و ناخذو بخاطر بعضنا في كل شيء,ونيأخذوا بخطر بعضنا في كل شيء
مختلفين في ريتكم للأشياء,مختلفين في رؤيتكم للأشياء
أما قريب تجي الصلاعة باش يشوف بوه ومو,أما قريب تيسلا بشيشوف بوه ومو
بربي تخيلو معايا لخبر خمسة شباب أبطال يدرسون في معهد montfleury ينقذون فتاة تم تحويل وجهتها إلي داموس السيدة,بربي تخيلوا تخيلوا معاي الخبر خمسة شباب أبطال يدرسون في مهاجمون فلوري ينق ينقذون فتاة تم تحويل وجهتها إلى دموس السيدة
يمكن ما سمعتنيش انت,متوسطي، جالس باللهي، عليه وظيفة
المطار,الماثار
على مصلحة بلادو مش يساند في حزب فاسق وسارق يا باهي,على مصلحة بلده مش يسنت في حزب فاسق وسرق يبي
نهار قلتلها ماشية نشرب قهوة قالتلي ما فماش خروج يزي من الهملة دخت من البهتة يعنى,نهار قلت لها ماشي إنه شرب قهوة قالت لي ما فهميش خروج إزميل هملا ضخت من البهتة يعني
كيفاش الصغار الكل اباتهم يقريوهم و أنا بابا عمرو لا شد,كيفش الصغار الكل ببيتهم يقرئوهم وأنا بابع عمر ولا شد
التاي لكحل,إيه
الصيف إلي قبل الباك أنا نقرى فيه وقتها,كيف اللي قبل الباقي؟ أين نقرأ فيه وقتها؟ أي؟
قاللك امرا كبيره قاعده تحت le climatiseur في قلب الصيف وتعمل ايهه,قالك مرا كبيرة جاية تحت للكليماتيزر في قلب الصيف وتعمل إيه
ان شاء الله عظيماتو في الجنه إلي صنعه قالت لها مرة ولدها كافر إلي صنعه,إن شاء الله ذي ماتوا في الجنة اللي صنعوا قالت له مارتولد ها كافر اللي صنعوا
قالتلها توا تدخليله انت الجنه عملتلنا مقرونه جاري في ها الشهيلي,يقول لا تود دخلي للهنت الجنة عملتنا مقرنة جاري في هالشيء
بالورقه فوالا هك باش ناخذو الفاس أنا هوني باش نحاول نعملها كعبه كبيره فوالا ناخذو لي كوتي هذوما ونلموهم هكة,وا لا هكذا بنشنخدو الفحص أنا هوني بنشنحاول نعمل هكعكة كبيرة و لا نخذو ليكوتا هذوما ونلمهم هكذا
على خاطر انت ككنت تتحدث توا آه سي محمد ب بالنسبة لسوايع العمل هوما أربعة صباح و أربعة العشية سى فاي ثمنية سوايع كيما قبل,على خطر أنتي كي كنت تتحدث تواصي محمد بالنسبة لسويه على العمل هما أربعة صباح و أربعة العشية سفيت ثمانية سويه كي مقبل
يهز,إيهز
عملك وليدي بكيت حتى أنا نهارتها و بعد مشيت و نسيت و تلهيت,عمل لك وليجي بكيت حالتين انهارتها وبعد مشيت نسيت وتهيت
شنو لزمني نعمل باش نشوف حالة الطلب حاشتي بشكون يعوني نشوف حالة الطلب عاوني نعمل مسار للطلب شنو لزمني نعمل باش نثبت طلب متاعي,شنو لازم نعمل بس نشوف حالة الطلبة حاجتي بس كوني عوني نشوف حالة الطلبة عوني نعمل مسار للطلب شنو لازم نعمل بس نثبت طلبهم تاعي
وين باش ناقفوا من بعد,بشق فم مباد
أنا جيت الهوني نطل على واحد كهو,أجل هني الله جوعك
إيكسكتمن باهي أحنا اليوم سيتي له جور ده رنتره معناتها cإي أون جراند دسبسيون,بالنسبة لي، كان يوم ذكرى عيد الميلاد
خايب,خايبة
يوجع,يوشى
من غدوة تمد عبد الله على الشط,الخطوة ثمانية عبدالله على الشاطئ
يبوس حد,يبوس حد
و أنا معناها مال reasons إلي كريت الدار إنو باش نولي ناكل ماكلة healthy خاطر بدني تعب من الماكلة متاع الشارع إلي ناكل فيها و ال rythme مع الفاك الصعيب و كلمشي donc حبيت,وأنا معنها م reasons اللي كتير تدر إنه بشوالي نكل مكلة هلث يا خطر بدني تعب من المكلام تعاشر عينيكل فيها والغيط متعال فك صعب وكل ماشي يدونك حب
