category,instruction,response,augmentation_type
cultural_knowledge,علاش تونس باهية للاستثمار في التكنولوجيا وشنوة عملت الدولة؟,"تونس عندها برشة مزايا للشركات التكنولوجية:
• تونس قريبة لأوروبا وعندنا مهندسين وخدامة كفاءة.
• فمة قوانين جديدة كيف 'Startup Act' اللي تسهل الخدمة للشركات الناشئة.
• الدولة عملت برامج كيف 'تونس الذكية' (Smart Tunisia) باش تجيب المستثمرين الأجانب وتوفرلهم بنية تحتية رقمية باهية.",original
storytelling,دراسة الماط في تونس، كيفاش تحل بيبان الخدمة للطلبة؟,"الماط مش كان حساب، هي تعلم الطالب كيفاش يحلل البيانات ويعمل نماذج رياضية. الخريجين ينجموا يخدموا في برشة مجالات كيف:
• تحليل البيانات (Data Analysis)
• الاستشارات المالية والرياضية
• البحث العلمي والتعليم
• حل المشاكل الهندسية المعقدة
المهارات هاذي تخلي الطالب مطلوب برشة في السوق خاطر يعرف يفكر بطريقة منطقية ومنظمة.",original
storytelling,شنوة المراحل باش تعمل مشروع تكنولوجي في تونس؟,"باش تعمل مشروع تكنولوجي (Startup مثلاً) لازمك تتعدى بالخطوات هذي:
• دراسة الجدوى: تثبت اللي فكرتك مطلوبة في السوق وتعمل Plan واضحة.
• التراخيص: تاخذ الموافقات م الوزارات المعنية (كيف وزارة تكنولوجيات الاتصال).
• الحصول على علامة 'Startup Act': باش تتمتع بالامتيازات الجبائية والقانونية.
• التمويل: تلوج على مستثمرين (Business Angels) ولاّ تمويل م البنوك.
• الربط مع الـ Ecosystem: تبني علاقات مع المحاضن (Incubators) وأقطاب التكنولوجيا كيف 'قطب الغزالة'.",original
storytelling,قراية المات (الرياضيات) شنوة تفتح آفاق شغل في تونس؟,"اللي يقرى مات في تونس عنده برشا فرص، ينجم يخدم في:
• تحليل البيانات (Data Analysis).
• الاستشارات والمالية.
• البحث العلمي والتعليم.
• حل المشاكل الهندسية المعقدة.
الرياضيات تعلمك كيفاش تحلل وتلقى حلول ذكية، وهذا مطلوب برشا في سوق الشغل توه.",original
storytelling,شنوة هو الـ Startup Act وكيفاش عاون الشباب في تونس؟,الـ Startup Act هو قانون ثوري خرج في تونس عام 2018، يسهل برشا إجراءات للشباب اللي يحبوا يحلوا شركات ناشئة. يعطيهم امتيازات ضريبية، يسهلهم التعامل بالعملة الصعبة، ويعطي 'منحة بعث مشروع' للمتخرجين. بفضله، تونس ولات من أحسن الوجهات في أفريقيا للابتكار التكنولوجي.,original
general_knowledge,شنوة قصة الميكرو-أوند (Microwave) وكيفاش تكتشف بالصدفة؟,تكتشف بالزهر في 1945 عن طريق مهندس اسمه 'بيرسي سبنسر' كان يخدم على 'رادارات' عسكرية. لاحظ اللي طرف 'شكلاطة' في جيبه ذاب وهو واقف قدام جهاز الرادار. فهم اللي الموجات هذيكة هي اللي سخنت الشكلاطة، ومن غاديكة جات الفكرة باش يصنعوا فور يطيب الماكلة باستعمال الموجات موش بالنار التقليدية.,original
general_knowledge,فين تمشي الطيور المهاجرة في الشتاء وكيفاش تعرف ثنيتها بلاش GPS؟,الطيور تهرب من برد الشمال وتمشي لبلايص أدفا (كيف أفريقيا) وين الماكلة متوفرة. المذهل اللي هما عندهم 'بوصلة داخلية' تحس بالمجال المغناطيسي متاع الأرض، وزادة يستعملوا النجوم والشمس ومعالم الأرض (كيف الجبال والبحار) باش يشدوا الثنية وما يضيعوش، ويرجعوا لنفس العش متاعهم كل عام.,original
general_knowledge,شنوة هو الـ Blockchain (بلوكشين) بكلمات بسيطة؟,تخيل 'كناش' متع حسابات موجود عند الناس الكل في نفس الوقت. أي عملية تتقيد فيه، تتسجل عند الجميع وما ينجم حد يفسخها ولا يغش فيها خاطر الكل يعسوا على الكل. هي تكنولوجيا تخلي المعاملات (كيف البيتكوين) تصير بلاش وسيط (كيف البانكة) وبأمان كبيير خاطرها موزعة ومستحيل تزويرها.,original
general_knowledge,علاش المضاد الحيوي (Antibiotique) ما نداويوش بيه الڨريب (الأنفلونزا)؟,هذي أكبر غلطة يقعوا فيها الناس. المضاد الحيوي يقتل 'البكتيريا' برك، أما الڨريب والزكام يتسببوا فيهم 'فيروسات'. الفيروس كائن مختلف كومبليتمون والمضاد ما يعملوش حتى شيء. بالعكس، كي تاخذ مضاد وإنت عندك فيروس، قاعد تضعف في بدنك وتخلي البكتيريا تولي أقوى وتعمل 'مناعة' ضد الدواء.,original
general_knowledge,كيفاش يخدم الـ GPS وكيفاش يعرف بلاصتنا بالضبط؟,الـ GPS (نظام تحديد المواقع) يعتمد على شبكة متاع أقمار صناعية تدور بالأرض. تليفونك يستقبل إشارات من 4 أقمار ولا أكثر في نفس الوقت. القمر يبعث 'الوقت' اللي خرجت فيه الإشارة، وتليفونك يحسب قداش خذات وقت باش توصل. بعملية حسابية (تثليث)، تليفونك يعرف قداش بعيد على كل قمر ويحدد نقطة وجودك على الخريطة بالمليمتر.,original
