Reference,Prediction
ويرحمني و إياكم في الدنيا و الآخرة,rhm w   dn wx
إشك أناهي الحكومة إلي باش تدخل لك في اصلاحات خطيرة,s n cm n bs xl f isl xtyr
وهو قاعد ستة شهر,wq ssm
إذن نحن بحاجة إلى مجلس تأسيسي إن ينجم ينظم كل هذا,in nn bhj i mjs tess nj mn bm  hv
الإدارة العامة للميترو طالبة خدامة و الإدارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,mdr lm mtrt arb xdm rdr lm zrm bsb  cncr  s
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الأسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,s jb i b b m rb sfn'swm tr li brs   ms njm  s
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا أحنا وياها يجيبوا مسؤولين بربي يفهمونا,f  w sb mnb v  tcn mn hd f xrj n  r  n w jb ms'ln brb f mnb
أقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,m ism xnxd jml mn btfn jml
معانا محرز بالتليفون مرحبا,mn mrz btlfn mrb
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للإقلاع التام على التدخين,jm n qrr hvy nj ws i m  d
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,sbn t f qw     nd ml wcp mn bin m m jml shm wnbd nbd  s qn bl
لكن سا فا الحمد الله معناتها آه,msbr hmd l m db
إ يا إلي تتكيفوا شوفوا الباكو شنوا إلي مكتوب عليه,l  cif sf lbak snn mcb li
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه أربعة و أربعين أعماركم معناها متقاربين برشا يحيى ثلاثة و أربعين,ssd wb i n d  n w     ma rc mn  md  rbn brs ii  b
عادل مرة أخرى نشكرك يعطيك الصحة,d m rxr nskr y sha
ينجم يركز كان بال بالدخان بالطبيعة إذا كان باش يستانس يعني باش يكون حياتو كاملة,mn jm r n  n  s mjr swr f m w b i n bssns n s  cn
باش نولي عبد آخر كانوا وحش باش يولي,mace n walli ihabed axer kan wahec bec wala
