Reference,Prediction
ويرحمني و اياكم في الدنيا و الآخرة,ويرحمني وإياكم في الدنيا والآخرة
اشك اناهي الحكومة الي باش تدخل لك في اصلاحات خطيرة,أنا هي الحكومة اللي باش تدخلك في إصلاحات خطيرة
وهو قاعد ستة شهر,وهو قاعد ستة شهر
اذن نحن بحاجة الى مجلس تاسيسي ان ينجم ينظم كل هاذا,إذن نحن بحاجة إلى مجلس تأسيسي ينجي منظم كل هذا
الادارة العامة للميترو طالبة خدامة و الادارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,مدار العامة للمتروط أربع خدمة ومدار العامة والوزارة محبسة تسليم الخدمة الكونكورة عليها
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الاسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,توقع جبس بأخير بربي حبيت نتكلم بربي شوفونا الأسوام خطر غالية برشا معاش نجمو نقضيه ومعاش نجمو نعيشو
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا احنا وياها يجيبوا مسؤولين بربي يفهمونا,كيفاش تعملت قوانين وشباه المنظومة دي كانت على الكنام منش حتش في الخارج وطول صانين تعاركوا احنا وياها يجيبوا المسؤولين برب فاهمونا
اقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,مع ياسيم خلني اخدو جميل معانا بالتليفون جميل؟
معانا محرز بالتليفون مرحبا,معنا محرز بالتليفون مرحبا
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للاقلاع التام على التدخين,كيفاش نجم يكون القرار هذي ناجح ويوصل للإقلاع اللي تام على تدخينه؟
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,صدقني حتى في القاوة واحد معتهم وعندي زملاء ويتكيفوا من ديما معاك ديما ننصحتهم ونبعد نبعد عليهم معاش كنت قبل
لكن سا فا الحمد الله معناتها آه,الحمد لله ما تريد
ا يا الي تتكيفوا شوفوا الباكو شنوا الي مكتوب عليه,إيلي تتكيفوا شوفوا الباك وشنون مكتوب عليه
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه اربعة و اربعين اعماركم معناها متقاربين برشا يحيى ثلاثة و اربعين,عيشك سيدي يحيى عادل انت ويحيى 44 عماركم يعني متقاربين بشع يحيى 43
عادل مرة اخرى نشكرك يعطيك الصحة,عادل مرة أخرى نشكرك يعطيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة اذا كان باش يستانس يعني باش يكون حياتو كاملة,منجم يركز كان بالدخان وهو مش صحيحة مجرد تصور في مخه هو بالطبيعة إذا كان بش يستانس يعني بش يكون حياته كاملة
باش نولي عبد آخر كانوا وحش باش يولي,باش نولي عبد اخر كان وحش باش يولي
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت الى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا احسن طريقة باش,يختاروا أحسن طريقة لكي يستطيعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطعوا أن يستطع
باش تلبي هاكي الرغبة فهمتني,بيشتلب بيقك الرحبة بتاعك آه وايه
آه سواء كان في بلادنا ولا حتى في العالم اجمع,سواء كان في بلادنا ولا حتى في العالم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم الي راهو,نخترحوه ونصحو به لعبة الكل مع العلم اللي يراه
فيس في استهلاك هاكي السيقارو,في سليك السيجار
ال ها المنطق هذايا ما يعطيش اكلو مية في المية,المنطقة هذه ما يعطيش أكله مية في المئة
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو,دكتور هشام عميق أعوينا هو ضيفنا اليوم في الستوديو
فمة ادمان على مادة النيكوتين فمة ناس الي هوما,ما أدمن على مدى تلك النكوتين وما ناس اللي هما
وربما تنجم تكون هيا ال,وربما يجب أن تكون هي
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد امورها الامنية ما تعجبش,وليقولك سنة ما فماش ميزانية متاع خليها ان بلوس دي سال البلاد امورها الامنية ما تعجبش
مرحبا ايه,سنسأل مباشرة على ويسال حياة
شيء يدوخ لهنا ايه مطلقين من نهارت الي هزيتها لطبيب سا يا طلقتها قال لي ما هي ش حبلى,الشاي دوخ لاني بعد قديش من الشهر مفصلين انتو مع وقتها طلقين ايه طلقين ايه منهارة الهزيطة الطبيب سيطلق تجلي ميش حبلة
بحضوركم انتم التحليل ديجا خلصتو في سبيطار,احذركم انتم تحليل دي جا خلصتوا في السبيطة
ايه كهو بعد امم مدة ص صغيرة عرسنا,هي كان باد ما ده صغيرة عارص نه
انا نغزر لربي مش نغزر ليك انت,أنا نخزر ربي ماشي نخزر لي كنتي
الي هو لونو بنفسجي,اللي هو لون بنفسج
وذاك علاش اليوم جبت لكم هالمشرب,وذيك عليش اليوم جبت لكم هالمشرب
حداش وتسعة مية شوف لي الفين,شدشوا الثانية شوفوا اللي يلزين
مرحبا مرحبا مرحبا,مرحبا
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي,يعني بالنسبة لي كان لخص كلامك سند أنت بالنسبة لي اليوم التونسي نفسني ينتعب وعدائي
معانا نزار شخ من تونس مك مرحبا,معنا نزار من تونس مرحبا
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم,معناها دي كوليغ معافل ما ترسم مننا اليوم قبل ما تتكتش على حق ولادكم
بيرو المعلم ما فيه حتى شيء لوحة و,بيرو المعادلة ما فيه حتى شيء لوحة
في هاذا الكل الولي زادة يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هاذا نرجعوا لو مرة اخرى في مواضيع اخرين,في هذا الكل الولي يزداد يقتل روحه باش صغير ويكون حاضر للعودة يتثلف باش يشري الفورنيتور شكون يدفع الثمن في الاخر اتلين باب بيان سور في وسط العام واخر العام وهذا نرجع له مرة اخرى في مواضيع اخرى
اغلبية معناها التلامذة ما رسمتش,أغلبية معنى الإسلام زي ما رسمته
كون في ال رنتره السنة الدراسية تكون على الاقل,في تحسين الدراسية تكون على الأقل
الا انو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك انا,لأن المسافة بعيدة والشركة التونسية للتوزيع المياه تقول لك أنا
بالسلامة,بسلامة
اربعطاش,أربعة عشر
