Reference,Prediction
ويرحمني و إياكم في الدنيا و الآخرة, ويرحمني وإياكم في الدنيا والآخرة
إشك أناهي الحكومة إلي باش تدخل لك في اصلاحات خطيرة, أنا هي الحكومة اللي بش تدخلك في إصلاحات خطيرة
وهو قاعد ستة شهر, وهو قاعد ستة شهر
إذن نحن بحاجة إلى مجلس تأسيسي إن ينجم ينظم كل هذا, إذن نحن بحاجة إلى مجلس تأسيسي ينجم ينظم كل هذا
الإدارة العامة للميترو طالبة خدامة و الإدارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش, مدارة العامة للمتروات قربة خدامة والدارة العامة والوزارة محبس تحيب القدم من الكونكورة عليها
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الأسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا, توقع جب سبا خير بربي حبيت نتكلم بربي شوفونا الاسوامة خطر غالية برشا ما عاش النجم ونقضي وراه وما عاش النجم ونعيشو
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا أحنا وياها يجيبوا مسؤولين بربي يفهمونا, كيفيش تعاملت قوانين واشباه المنظومة دي قاطع الكنام منش حتش في الخارج وانتون ثانين نتعاركوا احنا وياها يجيبوا المسؤولين برب يفهمونا
أقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال, دعنا نأخذ جميل معنا بالتليفون جميل؟ أنا عسلمة
معانا محرز بالتليفون مرحبا, معنا محرز بالتليفون مرحبا
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للإقلاع التام على التدخين, كيف يكون القرار هذي ناجح ويوصل للإقلاع التام على تدخيل
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل, صدقني حتى في القاوة وواحد معتهم وعندي زملائي ويتكيف ومن ديما معتا ديما لانسحتهم ونبعد نبعد عليها معاش كنت قبل
لكن سا فا الحمد الله معناتها آه, alhamdulillah
إ يا إلي تتكيفوا شوفوا الباكو شنوا إلي مكتوب عليه, ايه اللي تتكيفوا شوفوا الباك وشنون المكتوب عليه
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه أربعة و أربعين أعماركم معناها متقاربين برشا يحيى ثلاثة و أربعين, عايشك سيدي يحيى انتي عادل انتي ويحيى 44 عماركم معنا متقاربين بشا يحيى 43
عادل مرة أخرى نشكرك يعطيك الصحة, عادل مرة أخرى نشكرك يعطيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة إذا كان باش يستانس يعني باش يكون حياتو كاملة, مينجم يركز كان بالدخل وهو مش صحيح مجرد تصور في مخه هو بتبعه اذا كان بشي يستنس يعني بشي يكون نحياته كاملة
باش نولي عبد آخر كانوا وحش باش يولي, مش نولي عبد اخر كانوا وحش مش نولي
