Reference,Prediction
في الدار البيضاء ومقاولات كبيرة بسبب الضبابية بسبب هاد الفراغ لي كاين ليوما على مستوى الاقتصاد السياسي واللي دخلنا في الركود التضخمي يعني التضخم دي اقتصادي هابط التراجع ديال النمو والشركات د القطاع الخصوصي الكبيرة كتكمن تقنن النفقات ديالها نقتاسم التوظيف وبالتالي يعني واحد السياسة احترازية,في ضل بيضاء ومقاولات كبيرة بسبب الضبابية بسبب هذا الفراغ اللي كان اليوم على مستوى الاقتصاد السياسي والدخلنا في الركود تضخم يعني تضخم غادي ونمو اقتصادي هبط التاراجع دي النمو والشركات القطاع الخصوصي الكبيرة كتكنن تقنن نفقت ديرها نقصات متوضيف وبالتالي يعني واحد سياسة احترازية ريدونة فيجيلانس
في ولا ولا هذا ولا هادشي لي كنت كنقرا وليت راسي كنتوجه الذكاء المالي التطور الشخصي انا دابا انا دابا بديت في التطور الشخصي قريت عليه وبديت كنت كنقرا وبغيت ندير التطور الشخصي ماشي باش نحل مشاكل الناس اللي مجوجين ديالك اه بغيت بغيت التطور الشخصي نخدمو فالتطور,الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنجوائي أو الإنج
تكون التجربة ما عندهاش طعم وداك الانتقال من انك دكتور في الجامعة المغربية لأنك مدرب في الجامعة الدولية كي كان هاد الإنتقال وانا انا بديت يعني بديت العمل ديالي في جامعة خارج المغرب سواء في المملكة العربية السعودية وفي الإمارات او في الولايات المتحدة الأمريكية اه ولا كنت في طور يعني ده,تكون تجربة ما عنداش طعم وذلك الانتقال من أنك دكتور في الجامعة المغربية لأنك مدرب في جامعة الدولية كيف كان هذا الانتقال؟ أنا بديت العمل ديالي في جامعة خارج المغرب سواء في المملكة العربية السعودية أو في الإمارات أو في الولايات المتحدة الأمريكية وأنا كنت في طور يعني
كاين واحد التعقيد يراد به واحد المجموعة د الأشياء فمن تم يعني درت الدكتوراه في الفين بديت في الفين وتلطاش سنة الفين وتمنطاش ومن تم يعني كذلك يعني طورت القضية ديال الاستشارات المالية التدقيق الشرعي ديال الأيوفي هيئة المراجعة والمحاسبة المعاملات المالية الإسلامية,إذا الناس تعلموا كيف يعمل الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار الانتظار ال
ديال ديال كل واحد يديها فراسو حسن ليه من المشاكل نديها فراسي ناس جاب نشوف لاخر نشوف راسي انا المصلحة ديالي لا ولا هاد كيقولك اودي المسؤولية ديالهم توقع على الدولة هوما اللي هادي وهادي لا انا كنقول الذي يحرك هاد الرقي الاجتماعي هو منظومة القيم التي نعيشها,كل شخص يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل يحصل لي من المشاكل
غير معرفتش واش دابا نضحك ولا نكون معقول لي بغيت كنعرف يعني البرامج ديالك كيكون فيهم بزاف وانا معرفتش نكون المهم هو تعاودلي حكايتي عجبني العنوان شكرا كنهنئك واخا انا عرفت بان شهرزاد ديالي كانت كتحكي لشهر ايار لا بالعكس ماكاين تا مشكل توكلي على الله يالاه ها حنا غانمشيو,غير ما عرف شوش نضحك ولا نكون معقول لبغيتي لبغيتي وكان عرف يعني البرامي جالكي يكون فيهم بزاف دلو سيغيو لا شوف وانا ما كان عرفش نكون سيغيو تحك كتير ايه باش تقول لك واحد الحاجة المهم هو تعود لي حكاية وانا شبني العنوان شكرا كان هنأك شكرا وخانا عرفت بانا شهر هزادي هلي كنت كتحكي لشهر ايار لا بالعكس انا وطم ما لا تحكي ولينا وكانت مشكلة توقلي الله يلا احنا نشوف توت سويت
البناء اه بطبيعة الحال را الاعتدال مطلوب يعني ميمكنلناش نتصورو يعني اي بناء اولا توجه نحو التنمية بدون اعتدال لان لا الغلو ويضر والتراخي عاوتاني ايضا الغلو الدفاع مضر والتراخي ايضا مضر وبالتالي ان الاعتدال اساسي حنا المغرب منذ ثلاثة وتسعين والتوجه ديال المغرب في علاقة يعني القطع,البناء؟ بطبيعة الحال الاعتدال مطلوب يعني لا يمكن أن نتصور أي بناء أو توجه نحو 200 بدون اعتدال لأن الغلو يضر والتراخي أيضا الغلو في الدفاع مضر والتراخي أيضا مضر وبالتالي أن الاعتدال أساسي نحن المغرب منذ 1993 والتوجه المغرب في علاقة من القطع
ديالكم حاولوا ما امكن تاخدوا مية فالمية ها حنا دابا وجدنا الأرض ديالنا اللي غادي ترتاح حتى الوقيتة ديال الربيع اللي خصنا نبداو نغرسوه الحاجة لي مهمة بزاف خصنا لي خصنا ناخدوهم هما الحمد لله دابا ولاو عندنا هاد فالمغرب للأسف مازال ما عندناش لي مية فالمية مغربيين ولكن اه نقدرو نلقاو لي,حاولوا ما أمكان تأخذوا مياه في المياه بيو نحن دابا وجدنا أرضينا اللي غادي ترتاح حتى لو قذيار ربيع اللي خصنا مدون غرصو فيه الحاجة اللي مهمة بزافة اللي خصان ناخدهم هما اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي اللي الل
كتخلص رسوم ديال التسجيل والتحفيض الى غير ذلك كتعلم ادارة الضرائب لأن كاين رسوم تسجيل كتأدى تاهو راه بمثابة اعلام واشعار الى غير ذلك ذلك اه اه كدلك خصنا نعلمو السلطة متلا ربما سكن ثانوي ولى سكن رئيسي وخا لأن الضريبة تختلي انا غادي نمشي نعلم فين غادي قلتي الجماعة نعم كاينة الجماعات وكاينة ادارة,اشتركوا في القناة
مكاين تا واحد القيمة ديالو شحال غادي طيح تقمارت ولا ماشي تاقمرت معمرو يولي زيرو هدا النفط معمرو يولي زيرو ايجي شي واحد يقولك هادوك ديال ابريل الفين وعشرين كانوا هادوك هداك ماشي البرميل ديال النفط يعني اداة مقامرة او كيهيمنو عل الميدان المالي اليوم مع الأسف,ممكن أن تكون شخصاً، لذلك ما هي القيمة البروديو ديريفية؟ هذا الطعب، 0 تقمرت أو ليس تقمرت؟ مع مروري أو ليس زيرو هذا النفط، مع مروري أو ليس زيرو هذا ما يقول لك البروديو ديريفي الأبريل 2020 كانوا نيجاتيف هذا البروديو ديريفي، هذا ليس البرميل للنفط فالبروديو ديريفي يعني آدات مقامرة وهي من الميدان المالي اليوم على الأسف
