dataset,prediction,reference,duration_s,audio_id,sample_wer
labeled_algerian,الضبة يداه ومحاور كبيرة [Speech] sécurité régie et de la vigilance,في الدار البيضاء ومقاولات كبيرة بسبب الضبابية بسبب هاد الفراغ لي كاين ليوما على مستوى الاقتصاد السياسي واللي دخلنا في الركود التضخمي يعني التضخم دي اقتصادي هابط التراجع ديال النمو والشركات د القطاع الخصوصي الكبيرة كتكمن تقنن النفقات ديالها نقتاسم التوظيف وبالتالي يعني واحد السياسة احترازية,30.0,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/13b0777d-f8e3-472f-9c05-9aa91620402d,0.9782608695652174
labeled_algerian,"linguistics, socioeconomics, ودها، ودها intercultural communication، ودها كده كان كده. ودها سكنترو جيل، ذكاء مالي، اه soft skills، اه development، تطور شخصي. development. أنا دايماً كده، أنا دايماً بديت في التطور الشخصي. Exactement. قرأت عليه، وبديت كان قراءة وبغيت ندير تطور شخصي، مشي مش نحل مشاكل الناس اللي مجوشين، مش كده، بغيت بغيت تطور شخصي نخدموه في التطور، اه المكان.",في ولا ولا هذا ولا هادشي لي كنت كنقرا وليت راسي كنتوجه الذكاء المالي التطور الشخصي انا دابا انا دابا بديت في التطور الشخصي قريت عليه وبديت كنت كنقرا وبغيت ندير التطور الشخصي ماشي باش نحل مشاكل الناس اللي مجوجين ديالك اه بغيت بغيت التطور الشخصي نخدمو فالتطور,28.65,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/7883754b-8f02-4883-b684-1bb1065b462f,1.0
labeled_algerian,أنا كنت قريبة من الدش طبعا. وده كنت انتقال من النكى دكتور في الجامعة المغربية للنكى مدرب في جامعة الدولية. كى كان هذا الانتقال؟ وأنا أنا بديت يعني بديت العمل يلي في جامعة خارج مغربية سواء في المملكة العربية السعودية أو في الإمارات أو في الولايات المتحدة الأمريكية. ونا كنت في طور يعني ال,تكون التجربة ما عندهاش طعم وداك الانتقال من انك دكتور في الجامعة المغربية لأنك مدرب في الجامعة الدولية كي كان هاد الإنتقال وانا انا بديت يعني بديت العمل ديالي في جامعة خارج المغرب سواء في المملكة العربية السعودية وفي الإمارات او في الولايات المتحدة الأمريكية اه ولا كنت في طور يعني ده,29.25,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/ee6de708-41a4-4737-ad1f-c559bc4b0fd3,0.5192307692307693
labeled_algerian,"Si les gens savaient comment euh le système monétaire fonctionnait, il y aurait une révolution demain matin. كن واحد تاقييد يرادو به واحد مجموعة الأشياء، فا منتمي ندرس الدكتوراه في 2010، 2013، 2018، ومنتمي كذلك نطور قضية الاستشارات المالية وتطبيق الشرعية. ال certificate الـ IO فيها المراجعة والمحاسبة المعملة المالية الإسلامية.",كاين واحد التعقيد يراد به واحد المجموعة د الأشياء فمن تم يعني درت الدكتوراه في الفين بديت في الفين وتلطاش سنة الفين وتمنطاش ومن تم يعني كذلك يعني طورت القضية ديال الاستشارات المالية التدقيق الشرعي ديال الأيوفي هيئة المراجعة والمحاسبة المعاملات المالية الإسلامية,26.6,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/dec53aaf-d3e1-4052-b51d-bb7c0d83ff77,1.069767441860465
labeled_algerian,كل واحد يديها في راسه، يحسن لي من المشاكل، يديها في راسي، نجرب نشوف لاحون، نشوف راسي أنا مصلحة جيل. لا. ولهاد الخطاب ده. الخطاب الدائعي والشائع. والكووديول للأمادي. وليه دايت نعم. وليه دايت وليه متوقع للدولة، هو ما نظبط للأمادي. وصحة هذه والي لا. أنا كنقول، الذي يحرك هذا الرقي الاجتماعي هو منظومة القيم التي نعيشها.,ديال ديال كل واحد يديها فراسو حسن ليه من المشاكل نديها فراسي ناس جاب نشوف لاخر نشوف راسي انا المصلحة ديالي لا ولا هاد كيقولك اودي المسؤولية ديالهم توقع على الدولة هوما اللي هادي وهادي لا انا كنقول الذي يحرك هاد الرقي الاجتماعي هو منظومة القيم التي نعيشها,27.35,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/755f42e7-7e7b-4b3c-aba7-0a60544335d7,0.9166666666666666
labeled_algerian,أنا ما عرفتش وش ده بان مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم مم [Speech],غير معرفتش واش دابا نضحك ولا نكون معقول لي بغيت كنعرف يعني البرامج ديالك كيكون فيهم بزاف وانا معرفتش نكون المهم هو تعاودلي حكايتي عجبني العنوان شكرا كنهنئك واخا انا عرفت بان شهرزاد ديالي كانت كتحكي لشهر ايار لا بالعكس ماكاين تا مشكل توكلي على الله يالاه ها حنا غانمشيو,28.15,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/a9458bf8-cf35-47bc-9bc3-30989a99c177,2.26
labeled_algerian,البناء. بطبيعة الحال لا الاعتدال مطلوب، يعني ما يمكنناش نصوره يعني أي بناء أو توجه نحو النمية بدون اعتدال، لأن الغلو يضر والترخي أيضا الغلو في الدفاع مضر والترخي أيضا مضر، وبالتالي أنا الاعتدال أساسي. هنا المغرب منذ 93 والتوجه ديال المغرب فعلا يعني انقطع.,البناء اه بطبيعة الحال را الاعتدال مطلوب يعني ميمكنلناش نتصورو يعني اي بناء اولا توجه نحو التنمية بدون اعتدال لان لا الغلو ويضر والتراخي عاوتاني ايضا الغلو الدفاع مضر والتراخي ايضا مضر وبالتالي ان الاعتدال اساسي حنا المغرب منذ ثلاثة وتسعين والتوجه ديال المغرب في علاقة يعني القطع,27.65,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/1a07672d-2918-4e91-afcc-49eac68671e8,0.6041666666666666
labeled_algerian,البوداجي ديالكم حولو ما أن كانت تاخدو ديال بروديكت مية في المية بييو. ها احنا دابا وجدنا الأغذية النا اللي غادي ترتاح حتى لو غادي ياربع اللي خصنا ندوم غصوفه. الحاجة اللي مهمة بزاف خصنا ناخدوهم هما لـ لـ غرين. لـ غرين الحمد لله دابا ولّو عندنا ديز خبيطات في المغربية للأسف ما زال ما عندناش ديز غرين لمية في المية مغربية ولكن ايه نقدرو نقاودو غرين لـ بييو.,ديالكم حاولوا ما امكن تاخدوا مية فالمية ها حنا دابا وجدنا الأرض ديالنا اللي غادي ترتاح حتى الوقيتة ديال الربيع اللي خصنا نبداو نغرسوه الحاجة لي مهمة بزاف خصنا لي خصنا ناخدوهم هما الحمد لله دابا ولاو عندنا هاد فالمغرب للأسف مازال ما عندناش لي مية فالمية مغربيين ولكن اه نقدرو نلقاو لي,27.05,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/6e706147-abe8-425e-87ee-b199691a75fd,0.8301886792452831
labeled_algerian,شنت دايفلو واللي تقوليوش ندي معيال الكورة بزاف دويوف في دا داس بزاف ديال دويوف في فجولي إدري سقاطي عافك عتني هاد الكورة قلت لهم سافي كوش ديال خدا ما كيما انتي شحال را زادت كسترسو ولا لا؟ انتا وضيعي في. آه، كنسيت سميتي. وش تيدابا؟ هاتي خلص خايماك مش كليو. هاتي نقولو فكنسوو الناس. ودابا غنقولي أنا كنسوو لك. ما يبقى لي مشكل. ما كين مشكل ما كين مشكل أنا وياك هنا أخذو رادو غنديرونش شاء الله حلقة بإذن الله أتوصل قلوب الناس لأن أنا عارفة بأن أنت جيتي عندي مرقة البكورة,كتخلص رسوم ديال التسجيل والتحفيض الى غير ذلك كتعلم ادارة الضرائب لأن كاين رسوم تسجيل كتأدى تاهو راه بمثابة اعلام واشعار الى غير ذلك ذلك اه اه كدلك خصنا نعلمو السلطة متلا ربما سكن ثانوي ولى سكن رئيسي وخا لأن الضريبة تختلي انا غادي نمشي نعلم فين غادي قلتي الجماعة نعم كاينة الجماعات وكاينة ادارة,30.0,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/5961104f-2c23-49e8-a1d5-58efe9eed445,1.6727272727272726
labeled_algerian,مهم، أوكيه، جا واحد، دوك القيمات بخودو ديروي ديالو. هذا التايل صفر صفر. ساق مارس ولا ماشي ساق مارس. مع مروي ولا زرو هادا النفط، مع مروي ولا زرو. هاي يجي واحد يقولك ليه بخودي هادوك ليه كونترا فوتشر ديال أبريل 2020 كانوا نيجاتيف، هادوك تي بخودي ديروي تي ساوم ما تكملشي البرميل ديال النفط. اللي بخودو ديروي يعني أداة مقامرة وكاهم نع ال الميدان المالي اليوم مع الأسف.,مكاين تا واحد القيمة ديالو شحال غادي طيح تقمارت ولا ماشي تاقمرت معمرو يولي زيرو هدا النفط معمرو يولي زيرو ايجي شي واحد يقولك هادوك ديال ابريل الفين وعشرين كانوا هادوك هداك ماشي البرميل ديال النفط يعني اداة مقامرة او كيهيمنو عل الميدان المالي اليوم مع الأسف,27.4,quantumpuls3/Algerian-STT-Cleaned-V5/seed=42&min=250&max=300&N=500/f4c15289-3e73-4bea-a4a4-0c5849d4be8d,1.148936170212766
