category,instruction,response,augmentation_type
storytelling,تنجم تقلي كيفاش يعتبر تكريم كريم بقير وزهرة سليم في مجال الذكاء الاصطناعي رسالة أمل للشباب التونسي؟,تكريم كريم بقير وزهرة سليم (مؤسسي InstaDeep) يوري إلي الطموح والخدمة يوصلوا للعالمية. الحكاية متاعهم عطات ثقة للشباب التونسي إنو ينجم يبتكر ويبني مستقبل كبير في تكنولوجيا الذكاء الاصطناعي انطلاقاً من تونس.,question_variant
cultural_knowledge,تنجم تقلي كيفاش تنجم تونس تحافظ على التراث الفلكي الإسلامي وتطوره لليوم؟,"تونس تنجم تواصل في الثنية هاذي عن طريق:
• عمل برامج قراية وبحث لتوثيق الآلات الفلكية القديمة اللي صنعوها العلماء المسلمين.
• استعمال التكنولوجيا الجديدة، كيف ليزابليكاسيون متاع التلفونات لتحديد القبلة وأوقات الصلاة بدقة.
• إحياء المخطوطات القديمة ونشرها باش الأجيال الجديدة تعرف قيمة تاريخها العلمي.",question_variant
storytelling,تنجم تقلي كيفاش كرمت تونس الفلكي اللي اكتشف كويكب وسماه تونس؟,الفلكي الدنماركي ريشارد مارتن ويست اكتشف كويكب وسماه 'تونس' محبةً في البلاد. وفي 7 نوفمبر 2001، كرمته الدولة التونسية وعطاته جائزة 7 نوفمبر للإبداع تقديراً لمجهوداته العلمية وللحركة المزيانة اللي عملها.,question_variant
storytelling,تنجم تقلي شنوّة تفاصيل كسوف الشمس الكلي اللي باش يصير في 2 أوت 2027 ووين نجموا نشوفوه في تونس؟,نهار 2 أوت 2027 باش يصير كسوف كلي للشمس، وباش يكون من أطول الكسوفات في القرن هذا (يدوم أكثر من 6 دقائق). في تونس، أحسن بلايص لمشاهدة الحدث هذا هي الجنوب التونسي (كيف توزر وتطاوين) وجزر قرقنة، وين باش تظلم الدنيا تماماً في وسط النهار.,question_variant
storytelling,تنجم تقلي شنوة هي خطط تونس باش تدخل شبكة الـ 5G؟,تونس تخطط باش تبدا تسوق لخدمات الجيل الخامس (5G) في أواخر سنة 2024 وبداية 2025. الهدف هو تحسين سرعة الأنترنيت برشة وتسهيل استعمال التكنولوجيات الجديدة كيف الواقع المعزز والتحكم عن بعد.,question_variant
cultural_knowledge,تنجم تقلي شنوّة كان تأثير المؤتمر المسيحي بقرطاج عام 1930 وقانون التجنيس على التوانسة؟,المؤتمر الأفخارستي اللي صار في قرطاج عام 1930 استفز مشاعر التوانسة المسلمين، خاصة إنو فرنسا استعملت فيه الدين لتثبيت استعمارها. وبعدها كملت بطلعة قانون التجنيس، الشيء اللي خلى الحزب الدستوري وجريدة 'العمل التونسي' بقيادة بورقيبة يقودوا حملة كبيرة ضد دفن المتجنسين في مقابر المسلمين، وهذا قوى الروح الوطنية عند الشعب.,question_variant
storytelling,تنجم تقلي شنوة أهمية إطلاق أول قمر صناعي تونسي تحدي 1 في عيد الاستقلال؟,إطلاق قمر 'تحدي 1' نهار 20 مارس كان لحظة تاريخية، خاطر ورّى إنو تونس دخلت عالم الفضاء بكفاءات محلية. هو رمز للاستقلال التكنولوجي والعلمي ومصدر فخر للشباب التونسي.,question_variant
cultural_knowledge,تنجم تقلي كيفاش عامل التوزيع الديني في تونس؟,في تونس، الإسلام هو دين الأغلبية (حوالي 99%). لكن البلاد فيها تعايش كبير، فمة مسيحيين وعندهم كنائسهم، وفمة يهود (خاصة في جربة وتونس العاصمة) وعندهم المعابد متاعهم، والناس الكل تمارس في شعائرها بحرية.,question_variant
storytelling,تنجم تقلي كيفاش تونس صنعت تشالنج وان بإمكانياتها الذاتية وشنوة كان دور روسيا؟,القمر الصناعي 'تشالنج وان' هو تونسي 100% من ناحية التصميم والبرمجة، والمهندسين متاع شركة 'تيلنت' هوما اللي صنعوه. الدور الروسي كان في اللوجستيك، خاطر القمر خضع لاختبارات في مراكز روسية وتم إطلاقه بصاروخ 'سويوز 2' الروسي من قاعدة بايكونور.,question_variant
cultural_knowledge,تنجم تقلي شنوة الفرق بين علم الفلك والتنجيم حسب الجمعية التونسية لعلوم الفلك؟,الجمعية توضح إنو علم الفلك هو علم صحيح يتقرى في الجامعات ويعتمد على الحسابات والفيزياء. أما التنجيم فهو جوست 'دجل' ولا فن يعتمد على قراءة الطالع ولا علاقة له بالعلم، والهدف متاعو نفسي بالأساس.,question_variant
