Question,Answer
إذا جمعت ثلث العدد 18 مع ضعف العدد 6، كم يصبح المجموع؟,18
إذا كان لديك 12 صناديق، وكل صندوق يحتوي على 8 علب، وكل علبة تحتوي على 5 أقلام، كم عدد الأقلام لديك؟,480
لديك 6 طيور على الشجرة. طار 2 منها بعيدًا. كم طائر تبقى؟,4
إذا كان عمر الأب 45 سنة، وكان عمره عند ولادة ابنه الأكبر ضعف عمره عند ولادة ابنه الأصغر، وكان الفرق بين عمري الابنين 9 سنوات، فكم كان عمر الأب عند ولادة ابنه الأصغر؟,27
إذا كان لديك 195 تفاحة ووزعت 65 منها على الجيران، كم تفاحة ستبقى معك؟,130
إذا كان لديك 120 درهمًا وأنفقت ثلثها، كم بقي معك؟,80
في مسابقة، شارك 80 طالبًا. إذا نجح 3/4 المشاركين، فكم عدد الطلاب الذين لم ينجحوا؟,20
إذا كان لديك 3 مجموعات من الكرات وكل مجموعة تحتوي على 6 كرات، ثم أضفت 2 كرات لكل مجموعة، كم يصبح العدد الإجمالي؟,24
إذا كان لدي 5 كرات و3 أقلام. كم عدد الأشياء؟,8
لديك 8 سلال، وكل سلة تحتوي على 5 تفاحات. كم عدد التفاحات لديك؟,40
إذا كان لديك 6 أقلام وقسمتها بالتساوي على 3 صناديق، كم قلمًا في كل صندوق؟,2
إذا كان لديك 5 صناديق، وكل صندوق يحتوي على 6 كرات، وقررت توزيعها بالتساوي على 3 أطفال، كم كرة يحصل كل طفل؟,10
إذا كان لديك 5 كعكات وأكلت 2، كم كعكة تبقى لديك؟,3
كم مرة يمكن ضرب العدد 4 للحصول على 64؟,3
إذا كان لديك 590 كرة، وأعطيت 400 منها لأخيك، كم كرة ستبقى لديك؟,190
إذا كان لديك 7 طاولات وكل طاولة تحتوي على 4 كراسي، كم عدد الكراسي الإجمالي؟,28
إذا كان لديك 3 صناديق، وفي كل صندوق 8 كرات، كم كرة لديك في المجموع؟,24
إذا كان لديك 400 ريال، وأنفقت 300 ريال، كم ريالاً سيبقى لديك؟,100
إذا كان لدي 12 كتابًا وأعطيت 4 لكل من صديقين، كم كتابًا بقي معي؟,4
إذا كنت تملك 7 كرات زرقاء و3 كرات حمراء، كم عدد الكرات غير الحمراء؟,7
إذا كان لديك 225 قلماً ملوناً وأعطيت نصف هذا العدد لأصدقائك، كم قلماً ملوناً ستبقى لديك؟,112
إذا كان لديك 200 كرة، ووزعت 50 كرة على 5 أصدقاء بالتساوي، كم عدد الكرات المتبقية لديك؟,150
إذا كان لديك 40 سؤالاً وأجبت على 25 منها، كم سؤالاً بقي بدون إجابة؟,15
إذا كان لديك 105 تفاحات وأكلت 15 منها، كم تفاحة بقيت؟,90
إذا كان لديك 950 درهماً وأنفقت 420 درهماً، كم درهماً سيبقى معك؟,530
إذا كان لديك 12 كرة، وأعطيت 4 منها لأصدقائك، كم عدد الكرات المتبقية لديك؟,8
إذا كان لديك 405 قلماً ملوناً وأعطيت ربع هذا العدد لأصدقائك، كم قلماً ملوناً ستبقى لديك؟,303
كم مرة يمكن تقسيم العدد 81 على العدد 3؟,27
إذا كان لديك 40 كتابًا، وقرأت 5 كتب في الأسبوع، كم أسبوعًا تحتاج لقراءة جميع الكتب؟,8
إذا كان لديك 7 سيارات، وأعطيت 3 منها لأصدقائك، كم سيارة ستبقى لديك؟,4
إذا كان لديك 30 كتابًا، وقرأت 10 منها، كم عدد الكتب التي لم تقرأها؟,20
إذا كان لديك 20 درهماً وأنفقت 7 دراهم، كم درهماً سيبقى معك؟,13
كم عدد الأقدام إذا كان لديك 2 طاولات و3 كراسي؟,10
إذا كان لديك 40 ريالاً، وأنفقت 25 ريالاً، كم ريالاً سيبقى لديك؟,15
إذا كان لدي 3 صفوف، وكل صف يحتوي على 8 مقاعد، كم عدد المقاعد الإجمالي؟,24
إذا كان لديك 9 كعكات وأكلت 4 منها، كم كعكة تبقى؟,5
إذا كان لديك 6 سلال وكل سلة تحتوي على 8 تفاحات، كم عدد التفاحات الإجمالي؟,48
إذا كان لديك 8 كعكات، وأكلت 3 منها، كم كعكة تبقى لديك؟,5
إذا كانت الساعة الآن تشير إلى السادسة، ومرت 4 ساعات، كم تكون الساعة الآن؟,10
إذا كان لديك 47 كرة، وأعطيت 42 منها لأخيك، كم كرة ستبقى لديك؟,5
كم عدد الأصابع في 3 أيدي؟,15
إذا كان لديك 60 دولارًا، وأنفقت 20 دولارًا على الطعام و15 دولارًا على الملابس، كم تبقى لديك؟,25
إذا كان لديك 300 دولار، وأنفقت 100 دولار على الرحلة و50 دولارًا على الملابس، كم تبقى لديك؟,150
إذا كان لديك 25 قسطًا من الحليب، وكل قسط يحتوي على 1.5 لتر من الحليب، كم لتر حليب لديك؟,37
إذا ضاعفت العدد 15 ثلاث مرات، كم يصبح العدد؟,90
إذا كان لديك 10 أقلام وأعطيت 3 منها لزميلك، ثم اشتريت 2 جديدين، كم قلماً أصبح لديك الآن؟,9
إذا كان لديك 14 ريالاً، وأنفقت 9 ريالات، كم ريالاً سيبقى لديك؟,5
لديك 400 قلم ووزعت 150 على المدارس. كم قلماً بقي معك؟,250
كم عدد الزوايا في 8 مثلثات؟,24
إذا كان لديك 4 سيارات و3 دراجات، كم عدد المركبات التي لديك؟,7
إذا كان لديك 23 زهور، وأكلت 13 منها، كم زهرة ستبقى لديك؟,10
لديك 40 علبة، وكل علبة تحتوي على 10 أنواع من الألوان، وكل نوع يحتوي على 5 ألوان، كم عدد الألوان الإجمالي؟,2000
إذا كان لديك 2 تفاحتين، وأضفت 3 تفاحات أخرى، كم تفاحة لديك الآن؟,5
إذا كانت لديك 7 كرات وأعطيت 4 منها لأصدقائك، كم كرة بقيت؟,3
إذا كان لديك 140 كرة، وأعطيت 50 منها لأخيك، كم كرة ستبقى لديك؟,90
إذا كان لديك 370 ريالاً، وأنفقت 270 ريالاً، كم ريالاً سيبقى لديك؟,100
أنت لديك 4 ألعاب، وأعطيت منها 2 لأخيك. كم لعبة بقيت لديك؟,2
إذا كانت لديك 3 عصافير و2 حمام، كم عدد الطيور؟,5
