category,instruction,response
cultural_knowledge,أعطيني لمحة على أشهر أنواع السلايط في الكوجينة التونسية؟,"الكوجينة التونسية معروفة بتنوع السلايط متاعها، وهذه أهمها:
• سلاطة مشوية: فلفل وطماطم وبصل وثوم يتشواو ويترحاو، ونفاوحوهم بالزيت والتن والعظم والتابل والكروية.
• السلاطة التونسية: سلاطة خضراء تتقص جويدة (طماطم، فلفل، بصل، خيار) وتتفوح بالنعناع الشايح والقارص.
• سلاطة أمك حورية: سفنارية مسموطة ومرفوسة، تتفوح بالهريسة العربي والزيت والتابل.
• سلاطة مسموطة: خضرة مشكلة (بطاطا، سفنارية، جلبانة) مسموطة ومفاوحة بالخل والزيت.
• سلاطة بلانكيت: طرنشات خبز باجيت فوقها هريسة وسلاطة مشوية وتن وعظم.
• سلاطة روز: روز مسموط معاه خضرة وتن وعظم وجلبانة.
• سلاطة بطاطا بالأنشوة: بطاطا مسموطة معها معجون الحوت (الأنشوة) والزيت.
• سلاطة فجل: فجل مقصوص مع معدنوس وبصل وقارص."
storytelling,كيفاش يعتبر تكريم كريم بقير وزهرة سليم في مجال الذكاء الاصطناعي رسالة أمل للشباب التونسي؟,تكريم كريم بقير وزهرة سليم (مؤسسي InstaDeep) يوري إلي الطموح والخدمة يوصلوا للعالمية. الحكاية متاعهم عطات ثقة للشباب التونسي إنو ينجم يبتكر ويبني مستقبل كبير في تكنولوجيا الذكاء الاصطناعي انطلاقاً من تونس.
cultural_knowledge,كيفاش تنجم تونس تحافظ على التراث الفلكي الإسلامي وتطوره لليوم؟,"تونس تنجم تواصل في الثنية هاذي عن طريق:
• عمل برامج قراية وبحث لتوثيق الآلات الفلكية القديمة اللي صنعوها العلماء المسلمين.
• استعمال التكنولوجيا الجديدة، كيف ليزابليكاسيون متاع التلفونات لتحديد القبلة وأوقات الصلاة بدقة.
• إحياء المخطوطات القديمة ونشرها باش الأجيال الجديدة تعرف قيمة تاريخها العلمي."
storytelling,شكونو منجي باوندي، العالم التونسي اللي خذا جائزة نوبل للكيمياء؟,منجي باوندي هو عالم كيمياء أمريكي من أصل تونسي، ولد في باريس عام 1961 وهو ولد العالم التونسي الكبير محمد صلاح باوندي. خذا جائزة نوبل في الكيمياء عام 2023 على خاطر أبحاثه في 'النقاط الكمومية' ، اللي تستعمل اليوم في شاشات التلفزة المتقدمة والطب.
storytelling,كيفاش كرمت تونس الفلكي اللي اكتشف كويكب وسماه تونس؟,الفلكي الدنماركي ريشارد مارتن ويست اكتشف كويكب وسماه 'تونس' محبةً في البلاد. وفي 7 نوفمبر 2001، كرمته الدولة التونسية وعطاته جائزة 7 نوفمبر للإبداع تقديراً لمجهوداته العلمية وللحركة المزيانة اللي عملها.
storytelling,شنوّة تفاصيل كسوف الشمس الكلي اللي باش يصير في 2 أوت 2027 ووين نجموا نشوفوه في تونس؟,نهار 2 أوت 2027 باش يصير كسوف كلي للشمس، وباش يكون من أطول الكسوفات في القرن هذا (يدوم أكثر من 6 دقائق). في تونس، أحسن بلايص لمشاهدة الحدث هذا هي الجنوب التونسي (كيف توزر وتطاوين) وجزر قرقنة، وين باش تظلم الدنيا تماماً في وسط النهار.
storytelling,شنوة هي خطط تونس باش تدخل شبكة الـ 5G؟,تونس تخطط باش تبدا تسوق لخدمات الجيل الخامس (5G) في أواخر سنة 2024 وبداية 2025. الهدف هو تحسين سرعة الأنترنيت برشة وتسهيل استعمال التكنولوجيات الجديدة كيف الواقع المعزز والتحكم عن بعد.
cultural_knowledge,شنوّة كان تأثير المؤتمر المسيحي بقرطاج عام 1930 وقانون التجنيس على التوانسة؟,المؤتمر الأفخارستي اللي صار في قرطاج عام 1930 استفز مشاعر التوانسة المسلمين، خاصة إنو فرنسا استعملت فيه الدين لتثبيت استعمارها. وبعدها كملت بطلعة قانون التجنيس، الشيء اللي خلى الحزب الدستوري وجريدة 'العمل التونسي' بقيادة بورقيبة يقودوا حملة كبيرة ضد دفن المتجنسين في مقابر المسلمين، وهذا قوى الروح الوطنية عند الشعب.
storytelling,شنوة أهمية إطلاق أول قمر صناعي تونسي تحدي 1 في عيد الاستقلال؟,إطلاق قمر 'تحدي 1' نهار 20 مارس كان لحظة تاريخية، خاطر ورّى إنو تونس دخلت عالم الفضاء بكفاءات محلية. هو رمز للاستقلال التكنولوجي والعلمي ومصدر فخر للشباب التونسي.
cultural_knowledge,كيفاش عامل التوزيع الديني في تونس؟,في تونس، الإسلام هو دين الأغلبية (حوالي 99%). لكن البلاد فيها تعايش كبير، فمة مسيحيين وعندهم كنائسهم، وفمة يهود (خاصة في جربة وتونس العاصمة) وعندهم المعابد متاعهم، والناس الكل تمارس في شعائرها بحرية.
