Reference,Prediction
ويرحمني و اياكم في الدنيا و الآخرة,ويرحمني وإياكم في الدنيا والآخرة
اشك اناهي الحكومة الي باش تدخل لك في اصلاحات خطيرة,أنا هي الحكومة اللي بيش تدخلك في إصلاحات خطيرة
وهو قاعد ستة شهر,وهو قاعد ستا شهر
اذن نحن بحاجة الى مجلس تاسيسي ان ينجم ينظم كل هاذا,إذن نحن بحاجة إلى مجلس تأسيسي ينجم ينظم كل هذا
الادارة العامة للميترو طالبة خدامة و الادارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,ومدار العامة للمتروات أربع خدامة ومدار العامة والوزارة محبس تسيب الخدمة من الكونكورة عليه
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الاسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,توقع جب أسباع خير بربي حبيت نتكلم بربي شوفونا الأثوام خطر غالية برشا ما عاش نجم ونقضي وراهو ما عاش نجم ونعيشو
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا احنا وياها يجيبوا مسؤولين بربي يفهمونا,كيفاش تعاملت قوانين وشباه المنظومة ذي قاطع الكنام منش حتش في الخارج وانتون صانين نتعاركوا احنا وياها يجيبوا المسؤولين برب يفهمونا
اقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,دعونا نأخذ جميل معنا بالتليفون جميل
معانا محرز بالتليفون مرحبا,معنا محرس بالتليفون مرحبا
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للاقلاع التام على التدخين,كيف يكون القرار هذي ناجح ويوصل للإقلاع التام على تدخيل
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,صدقني حتى في القاوة وواحد معتهم وعندي زملائي ويتكيب ومن ديما معتا ديما لانسحتهم ونبعد نبعد عليها معاش كنت قبل
لكن سا فا الحمد الله معناتها آه,ماذا فعل الحمدلله ما تريد
ا يا الي تتكيفوا شوفوا الباكو شنوا الي مكتوب عليه,إيه اللي تتكيفوا شوفوا الباك وشنون مكتوب عليه
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه اربعة و اربعين اعماركم معناها متقاربين برشا يحيى ثلاثة و اربعين,عايشك سيدي يحيا أنت عادل أنت ويحيا 44 عماركم معنا متقاربين باشا يحيا 43
عادل مرة اخرى نشكرك يعطيك الصحة,عادل مرة أخرى نشكرك يعطيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة اذا كان باش يستانس يعني باش يكون حياتو كاملة,مينجم يركز كان بالدخان وهو مش صحيح مجرد تصور فيه مخوة هو بالطبيعة اذا كان بش يستنس يعني بش يكون حياته كاملة
باش نولي عبد آخر كانوا وحش باش يولي,بيش نقول لي عبد اخر كانوا وحش بيش يقول لي
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت الى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا احسن طريقة باش,لسيجارات لجارة يعني السواجر الخفيفة لا يتقول لها لا يتقول لها لا يتي لأخيره مغالطة كبيرة يعني يختاروا أحسن طريقة باش
باش تلبي هاكي الرغبة فهمتني,بشتليب بيك لأخبان تيك تيكي
آه سواء كان في بلادنا ولا حتى في العالم اجمع,سواء كان في بلادنا ولا حتى في العالم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم الي راهو,نخترحوه ونصحو به لحب الكل مع العلم اللي يراه
فيس في استهلاك هاكي السيقارو,في سيئلة كالصيغار
ال ها المنطق هذايا ما يعطيش اكلو مية في المية,المنطقة هذية ما يعطيش أكله مية في المياه
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو,دكتور رهيشة معمي أعوينا هو ضيفنا اليوم في السيديو
فمة ادمان على مادة النيكوتين فمة ناس الي هوما,ترجمة نانسي قنقر
وربما تنجم تكون هيا ال,وربما الناس تكون هي
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد امورها الامنية ما تعجبش,وليقول لك سنة مفاماش ميزانية متاع خليعاً بلوش دساء البلاد أمورها الأمنية ما تعجبش
مرحبا ايه,مثال موباش على وصال حيات
شيء يدوخ لهنا ايه مطلقين من نهارت الي هزيتها لطبيب سا يا طلقتها قال لي ما هي ش حبلى,بعد قديش من شهر مفصلين انتو مع وقتها طلقين من نهارة لازيتها لطبيب سي طلقتها جالي ماش حبلة
بحضوركم انتم التحليل ديجا خلصتو في سبيطار,أحذركم أنتم تحليل دجاء خلصتوا في الصبتاء
ايه كهو بعد امم مدة ص صغيرة عرسنا,كيف أمباد مدى سغير أرسنى
انا نغزر لربي مش نغزر ليك انت,أنا نغذر ربي منش نغذر لي كنتي
الي هو لونو بنفسجي,اللي هو لونو بنفسجي
وذاك علاش اليوم جبت لكم هالمشرب,وذلك عليش اليوم جبت لكم هالمشرة
حداش وتسعة مية شوف لي الفين,شديس وطعني شوف لي الفيل
مرحبا مرحبا مرحبا,ماذا؟ ماذا؟ ماذا؟
