Reference,Prediction
ويرحمني و اياكم في الدنيا و الآخرة,ويرحمْن وأيكم الدّنيا والآخرة
اشك اناهي الحكومة الي باش تدخل لك في اصلاحات خطيرة,شك لاي الحكومة البشتد خلك في أصلحات خطيرا
وهو قاعد ستة شهر,وقعد ستشون
اذن نحن بحاجة الى مجلس تاسيسي ان ينجم ينظم كل هاذا,لإِذا نَحْنُ بِعَجَة إلَى مَجْلِ استَّأْسِيسِ مَاءنَجّ مِنَضّمَ كُلَّبَا
الادارة العامة للميترو طالبة خدامة و الادارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش,مدالهامللمترو تخب خدمها قلدا العامث ولكلوذارق باسطيب القدن الكنكول عليه
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الاسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا,تقعشبسباحية برضي حبكنة كلم برد شفلن الأحويما ختغال ضرش معه النجم اأقذيم ره ماشنجم عنشو
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا احنا وياها يجيبوا مسؤولين بربي يفهمونا,كِفِيشْتْ عَمْلِ القاونينَ - إشْبَيهَا الْمَنْضُومَة ذكْرَة علكْنَا مِن الحَتْفكَارَ لوتُولْفَننْ عَرْكُحْنَا ويِّهَا أَيْجِبْ مأُلِمرَببِفامُنان
اقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال,ما ل نخذ جمي المعانب التلفون جمه ألعدم
معانا محرز بالتليفون مرحبا,معنا محرز بالتلفون مرحبه
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للاقلاع التام على التدخين,كيف شنجمع كون القرار  هذية أنيجحو وصل  للإقليع ألا تيم على تديق
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل,صدقني لحتى ف القاهوة أ وعد معطم يعندي زملاهو الكيب  لمن ديما معتدي مرا سحتيه ونابعد نابعد عليا معاة كنْ تقبًاً
لكن سا فا الحمد الله معناتها آه,إم اهتظر الحمد إلي معتري
ا يا الي تتكيفوا شوفوا الباكو شنوا الي مكتوب عليه,إدتت كيف شوف البواء كشنر مكتوب عليا
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه اربعة و اربعين اعماركم معناها متقاربين برشا يحيى ثلاثة و اربعين,عيش اكسدي ثوبا أن يحيىا أنتِ آعاد النتي و يحيى أربع ربعين ماركم عن  مدقر ب بشر  يحيت ليث وربين
عادل مرة اخرى نشكرك يعطيك الصحة,عادة المرخرة نشكركي عتيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة اذا كان باش يستانس يعني باش يكون حياتو كاملة,من جمركز كين البدخال ومشسحيحة همجرتسور ف مخوة وبتبعيدك بشستينسينكن حية كيملاً
باش نولي عبد آخر كانوا وحش باش يولي,بِاشنُولي عَبد خَلك وَحْشبشويد
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت الى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا احسن طريقة باش,لسياخت ل شاهية نسوة الخيفة لا يتقول لا ينهة ادخلاية لأخيره   - مهمغ الرجوايدلنسيويعيعن اليأ اختروا- أحسن تريق البشة
باش تلبي هاكي الرغبة فهمتني,بِاشلبِ إكلاع بوايعِح فبيحذي الأيع
آه سواء كان في بلادنا ولا حتى في العالم اجمع,سوإنكن في بليدن و لحتى في الحانم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم الي راهو,نِ اخترحوه نصح به لاحبل الكل ما العلم اليراء
فيس في استهلاك هاكي السيقارو,فِي فِياسْتَعِلَّيكِ كاسِيَرَة
ال ها المنطق هذايا ما يعطيش اكلو مية في المية,اهل المنتة خذير ما يعتيش أكلو مي فيلمي
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو,أدُكترجهِ شَمعمي أعوينا هوَ ضيفنَا ليومف لاتديو
فمة ادمان على مادة النيكوتين فمة ناس الي هوما,وَمَ إدْ مَانَ عَلَى مَادَتَلنِي كُتِ  النَاسِ لِهُمَا
وربما تنجم تكون هيا ال,وربماتنسمت كوني هي
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد امورها الامنية ما تعجبش,وَلِقُلْكَ سْنِم فَمِسمِزنَ يَمْتَعَ خْلِيهَمْ بلِاجدسالَ بليدْ أُمُورها الْأَمنِ يَمَا تَعْجَبْسَ
مرحبا ايه,نسنه باش على وسال حياة
شيء يدوخ لهنا ايه مطلقين من نهارت الي هزيتها لطبيب سا يا طلقتها قال لي ما هي ش حبلى,لشيد وخلني  بعد قدشم الشرب  فصليد طبوقتها ها يعيد والغين وإمنأرت لزك القبيبسيد طل اقت كلب إشحبلا
بحضوركم انتم التحليل ديجا خلصتو في سبيطار,احبرك ملتم تحري ذجة خلست ف الصبتا
ايه كهو بعد امم مدة ص صغيرة عرسنا,ئكه بعد مدرَس صِغرع الرَّسنة
انا نغزر لربي مش نغزر ليك انت,إِلنُْ نُغْزِ الرَّبِ مَنِشنغْصٍ لِكِلْتْ
الي هو لونو بنفسجي,نجهولون بن فسجهه
وذاك علاش اليوم جبت لكم هالمشرب,وذكرة ليس لينجب تلك المشر
حداش وتسعة مية شوف لي الفين,شديف القامية توكير فيك
مرحبا مرحبا مرحبا,ما ذا وحسة وحبا
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي,معن ا ابنسبلي ك انلخ سكل سند أنتِ ابنبليك اليوم تونسي نفسنِي نتعب وعيدائي
معانا نزار شخ من تونس مك مرحبا,معنا نذار من دون اصنح به
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم,مان يع ديقوليغمع في المدرثة منة اليمقدمة لقتوشع الحق اليتق
بيرو المعلم ما فيه حتى شيء لوحة و,بِرْ لمعَدمَ  بفيحةَ  لُوحَا
في هاذا الكل الولي زادة يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هاذا نرجعوا لو مرة اخرى في مواضيع اخرين,في هذا الكلّ ولي زديقت الرح بشصغيل كن حاضر العود يتثلف بشيشر الفونتيع اشكون يدفع الثمن فالخر بدلنباب ينصيح في واستلعام أواخر العام هذا النرجع لمرى أخرى في معضه أخرين
اغلبية معناها التلامذة ما رسمتش,أغلبيت معنى أثلان زمرخم
كون في ال رنتره السنة الدراسية تكون على الاقل,ونفونالالفحسدرسية كون على قلد
الا انو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك انا,لِأَن الْمَسافَ بَعِيدًا والشَّرَكَ التَّنْسِيَ لِتّرزِع الْمِياتٍ قُل كناء
بالسلامة,بِاسلَاما
اربعطاش,أرباطاش
عايش في الخيال,غايش في الخيال
عنب,ها نب
عنصري,انصُري
عطريا,عتري
ثناش,مثناش
خشم,اخشم
خاتم,خاتم
حقة,حقاة
حلوف خبيث,حلوف أخبيح
حوات,حويت
حزار,خزار
حبلى حامل,حبلة  حامل
قريات,قريت
قاضي,قابي
بلاروسيا,بَلْ رُوسْيَا
اسبانيا,إسبانيا
الصومال,بلسمال
الهند,الهنت
نمسا,نمس
اكرانيا,إكرانيا
سويسرا,سٌويسرا
يا ممو عينيا,يَ مَمُ عَيْنَيَةَ
عالسلامة يسلمك,عسلما  لسلمك
بالفرحة,بال فرحة
بابا,بابه
بنفسجي,بن افسجل
بيلت,بيلت
بشع خايب يعيف,بشا خايب يعيف
بقر,بجار
بيرو,بيره
بليد,بليد
بوفي,بفرك
بوسا,بشى
شفما جديد,اشفما ج جيد
شكون,أشكون
شنوا آش,اشنوة إعش
شنوا هاذا,اشنواهذا
دبوزة,دبوزا
ديكسيونار,بكشنه
ديون,ديوني
العشية,لا شيء
نعزك برشا,نازك برشةً
فديت ملا فدا,فَجِت مَلَفَدَة
فمة فمة,ثَمَ  ثمَ
فروج,فروج
فكرة,فكرة
فرشتا فراشة,فرشتة  فراشت
غاز,جاس
غراب,غراك
حاد,حاد
حر,حر
هوما,هم
جلسة,جلسع
جرح,جرح
جواب,جويب
كراتي,كرتيه
كبير,كبير
كينو,كيَنّ
خزانة,اخلصينة
كرهبة كراهب,كرهبة  كراهب
محل تجارى تجارى,محل تجارة  تجارة
مقفول و كسكاس,مقفور كسكاس
مرحبا,مرحبه
متواضع,متواضا
ميتين,ميكيل
ممتاز,ممتيز
موسيقى موزيكا,موسيقى موزيكى
نعرسو,نعرش
ناشط خفيف رشيق,ناشط خفيف رشيق
نمل,نمّالة
نهارك زين,نها ركزين
نمر,نمر
اوتوروت,أتروت
بابايا,فبايه
قبل,أقبل
رغم انو,رَغْمَ أَنُّهُ
