category,instruction,response,augmentation_type
cultural_knowledge,أعطيني لمحة على أشهر أنواع السلايط في الكوجينة التونسية؟,"الكوجينة التونسية معروفة بتنوع السلايط متاعها، وهذه أهمها:
• سلاطة مشوية: فلفل وطماطم وبصل وثوم يتشواو ويترحاو، ونفاوحوهم بالزيت والتن والعظم والتابل والكروية.
• السلاطة التونسية: سلاطة خضراء تتقص جويدة وتتفوح بالنعناع الشايح والقارص.
• سلاطة أمك حورية: سفنارية مسموطة ومرفوسة، تتفوح بالهريسة العربي والزيت والتابل.
• سلاطة مسموطة: خضرة مشكلة مسموطة ومفاوحة بالخل والزيت.
• سلاطة بلانكيت: طرنشات خبز باجيت فوقها هريسة وسلاطة مشوية وتن وعظم.
• سلاطة روز: روز مسموط معاه خضرة وتن وعظم وجلبانة.
• سلاطة بطاطا بالأنشوة: بطاطا مسموطة معها معجون الحوت والزيت.
• سلاطة فجل: فجل مقصوص مع معدنوس وبصل وقارص.",parentheses_cleaned
storytelling,كيفاش يعتبر تكريم كريم بقير وزهرة سليم في مجال الذكاء الاصطناعي رسالة أمل للشباب التونسي؟,تكريم كريم بقير وزهرة سليم يوري إلي الطموح والخدمة يوصلوا للعالمية. الحكاية متاعهم عطات ثقة للشباب التونسي إنو ينجم يبتكر ويبني مستقبل كبير في تكنولوجيا الذكاء الاصطناعي انطلاقاً من تونس.,parentheses_cleaned
storytelling,شنوّة تفاصيل كسوف الشمس الكلي اللي باش يصير في 2 أوت 2027 ووين نجموا نشوفوه في تونس؟,نهار 2 أوت 2027 باش يصير كسوف كلي للشمس، وباش يكون من أطول الكسوفات في القرن هذا. في تونس، أحسن بلايص لمشاهدة الحدث هذا هي الجنوب التونسي وجزر قرقنة، وين باش تظلم الدنيا كومبليتمون في وسط النهار.,parentheses_cleaned
storytelling,شنوة هي خطط تونس باش تدخل شبكة الـ 5G؟,تونس تخطط باش تبدا تسوق لخدمات الجيل الخامس في أواخر سنة 2024 وبداية 2025. الهدف هو تحسين سرعة الأنترنيت برشة وتسهيل استعمال التكنولوجيات الجديدة كيف الواقع المعزز والتحكم عن بعد.,parentheses_cleaned
cultural_knowledge,كيفاش عامل التوزيع الديني في تونس؟,في تونس، الإسلام هو دين الأغلبية. اما البلاد فيها تعايش كبير، فمة مسيحيين وعندهم كنائسهم، وفمة يهود وعندهم المعابد متاعهم، والناس الكل تمارس في شعائرها بحرية.,parentheses_cleaned
cultural_knowledge,شنوة كان تأثير المسيحية في تونس في العصور القديمة؟,المسيحية كانت موجودة بقوة في تونس من القرن الثاني ميلادي. شخصيات كيف ترتليان وقبريانوس القرطاجي لعبوا دور كبير في صياغة الفكر المسيحي العالمي. الكنيسة في تونس كانت منظمة وعندها شخصية 'إفريقية أمازيغية' قوية، ووقفت ضد الظلم الروماني قبل دخول الإسلام.,parentheses_cleaned
cultural_knowledge,شنوة صار في أول مشاركة دولية للمنتخب التونسي بعد الاستقلال؟,بعد الاستقلال عام 1956، تأسست الجامعة التونسية لكرة القدم. أول طرح دولي كان ضد منتخب جبهة التحرير الجزائرية. وفي نفس العام، شاركت تونس في الألعاب العربية وربحت ليبيا، وبعدها تأهلنا لأولمبياد روما 1960 وين ربحنا تايوان 8-1.,parentheses_cleaned
cultural_knowledge,أعطيني فكرة على تاريخ النجم الرياضي الساحلي وأهم ألقابه؟,النجم الساحلي تأسس عام 1925 في سوسة. هو جمعية كبيرة عندها 11 بطولة و10 كؤوس، وهو الفريق التونسي الوحيد اللي هز كؤوس إفريقيا الكل بمختلف تسمياتها، وشارك في كاس العالم للأندية عام 2007.,parentheses_cleaned
cultural_knowledge,شنوة معناها الحروب البونيقية في تاريخ تونس؟,هي سلسلة من 3 حروب كبار صارت بين قرطاج وروما. كانت صراع على شكون يسيطر على المتوسط، وأشهر بطل فيها هو حنبعل البرقي اللي وصل لأسوار روما.,parentheses_cleaned
cultural_knowledge,أعطيني 10 مطاعم مشهورة في تونس العاصمة؟,"من أشهر المطاعم في العاصمة:
1. دار الجلد
2. لي بو ام
3. إيل ريتروفو
4. الوليمة
5. دار بالحاج
6. المزار
7. السلطان أحمد
8. لا استراجال
9. دار صلاح
10. لي زنك.",parentheses_cleaned
cultural_knowledge,شنوة هي أهمية مدينة تكنولوجيا المواصلات في تونس؟,"قطب الغزالة لتكنولوجيا الاتصال عنده أهمية استراتيجية كبيرة في تونس خاطر:
• يوفر بيئة باهية للشركات الناشئة (Startups) والشركات العالمية في مجال الإعلامية والاتصالات.
• يخلق فرص شغل للشباب ويخليهم يطوروا مهاراتهم في الدومين التكنولوجي.
• يعاون في تطوير البنية التحتية الرقمية ويدعم التحول الرقمي في لبلاد.
• يقوي الاقتصاد التونسي ويخلي تونس تنافس في سوق التكنولوجيا إقليمياً وعالمياً.",parentheses_cleaned
