Reference,Prediction
ويرحمني و إياكم في الدنيا و الآخرة, ويرحمني وإياكم في الدنيا والآخرة
إشك أناهي الحكومة إلي باش تدخل لك في اصلاحات خطيرة, أنا هي الحكومة اللي باش تدخلك في إصلاحات خطيرة
وهو قاعد ستة شهر, وهو قاعد ستة شهور
إذن نحن بحاجة إلى مجلس تأسيسي إن ينجم ينظم كل هذا, إذن نحن بحاجة إلى مجلس تأسيسي ينجي منظم كل هذا
الإدارة العامة للميترو طالبة خدامة و الإدارة العامة للوزارة ما حبتش تسيب الخدم الكونكور علاش, مدار العامة للمتروط أربع خدمة ومدار العامة والوزارة محبسة تحبيب الخدمة الكونكورة عليها
صندوق عجب صباح الخير بربي حبيت نتكلم بربي شوفوا لنا ال الأسوام خاطر غالية برشا ما عادش نجموا نقضيو راهو ما عادش نجموا نعيشوا, وقع جبس بأخير بربي حبيت نتكلم بربي شوفونا الأسوام خطر غالية برشا معاش نجمو نقضي وراهو ومعاش نجمو نعيشو
كيفاش تعملت قوانينو آش بيها المنظومة هذيكة متاع الكنام ما نجحتش في الخارج وتونس لهنا نتعاركوا أحنا وياها يجيبوا مسؤولين بربي يفهمونا, كيفاش تعملت قوانين؟ شباه المنظومة دي كانت على الكنام منش حتش في الخارج وطول سنين تعاركوا احنا وياها يجيبوا المسؤولين برب يفهمونا
أقعد معايا سليم خلي ناخذوا جمال معانا بالتليفون جمال, مرحباً ياسيم، دعونا نأخذ جميل معنا بالتليفون، جميل؟ أهلاً عسامة
معانا محرز بالتليفون مرحبا, معنا محرز بالتليفون مرحبا
كيفاش ينجم يكون القرار هذايا ناجح ويوصل للإقلاع التام على التدخين, كيفاش نجم يكون القرار هذي ناجح ويوصل للإقلاع اللي تام على تدخينه؟
صدقني حتى في القهوة و واحد معناتها م عندي زملاء ويتكيفوا وليت ديما معناتها ديما ننصح فيهم ونبعد نبعد عليهم ما عادش كنت قبل, صدقني حتى في القاوة واحد معتهم وعندي زملائي ويتكيفوا من ديما معاك ديما ننصحتهم ونبعد نبعد عليهم معاش كنت قبل
لكن سا فا الحمد الله معناتها آه, الحمد لله مع تاريخه
إ يا إلي تتكيفوا شوفوا الباكو شنوا إلي مكتوب عليه, ايه اللي تتكيفوا شوفوا الباكو شنو اللي مكتوب عليه
يعيشك سيد توا يحيى انت آه عادل انت ويحيى آه أربعة و أربعين أعماركم معناها متقاربين برشا يحيى ثلاثة و أربعين, عيشك سيدي يحيى انت عادل انت ويحيى 44 عماركم معناه متقاربين بشه يحيى 43
عادل مرة أخرى نشكرك يعطيك الصحة, عادل مرة أخرى نشكرك يعطيك الصحة
ينجم يركز كان بال بالدخان بالطبيعة إذا كان باش يستانس يعني باش يكون حياتو كاملة, منجم يركز كان بالدخان وهو مش صحيحة مجرد تصور في مخه هو بالطبع إذا كان بيش يستنس يعني بيش يكون حياته كاملة
باش نولي عبد آخر كانوا وحش باش يولي, بيش نولي عبد اخر كان وحش بيش يولي
لي سقراطس ليجار يعني السواقر الخفيفة لايت وال الترا لايت إلى آخره مغالطة كبيرة بطبيعة يعني ي يختاروا أحسن طريقة باش, السيجاهات الليجير يعني السواقر الخفيفة لايت يقول لايت والألترا لايت إلى أخيره السواقر الجويدة الانسة يعني يختاروا أحسن طريقة باش
باش تلبي هاكي الرغبة فهمتني, باش تلبيك الرغبة بتاعك آه واو
آه سواء كان في بلادنا ولا حتى في العالم أجمع, سواء كان في بلادنا أو حتى في العالم أجمع
نقترحوه وننصحوا بيه العباد الكل مع العلم إلي راهو, نخترحوه ونصحو به لعبة الكل مع العلم اللي يراه
فيس في إستهلاك هاكي السيقارو, في استهلاك السيجارة
ال ها المنطق هذايا ما يعطيش أكلو مية في المية, المنطقة هذه ما يعطيش أكله مئة في المئة
آه دكتور هشام عم عوينة هو ضيفنا اليوم في الستوديو, دكتور هشام عميق عوينة هو ضيفنا اليوم في الستيديو
ثمة إدمان على مادة النيكوتين ثمة ناس إلي هوما, فما إدمان على مادة النيكوتين من الناس اللي هما
وربما تنجم تكون هيا ال, وربما يجب أن تكون هنا
ولا يقول لك السنة ما ثماش آه ميزانية متاع خلاعة في بلس ده سا البلاد أمورها الأمنية ما تعجبش, وليقلك سنة مفميش ميزانية متاع خلايا وان بلوس دي سال البلاد امور هالامنية متعجبش
مرحبا أيه, نسأل مباشرة على ويسال حياة
شيء يدوخ لهنا أيه مطلقين من نهارت إلي هزيتها لطبيب سا يا طلقتها قال لي ماهيش حبلى, الشاي دوخ لاني بعد قديش من الشهر مفصلين انتم اوقتها طلقين طلقين منهارة الهزة الطبيب سيطلق تجلي ميش حبلة
بحضوركم إنتم التحليل déjà خلصتو في سبيطار, أحضركم أنتم تحليل دي جا خلصتوا في السبتة
أيه كهو بعد إمم مدة ص صغيرة عرسنا, ikiambad madas svaria aras ne
أنا نغزر لربي موش نغزر ليك انت, إنه نوغزر ربي ماشي نوغزر لي كنتي
إلي هو لونو بنفسجي, اللي هو اللون بنفسجي
وذاك علاش اليوم جبت لكم هالمشرب, وذيك عليش اليوم جبت لكم هالمشرب
حداش وتسعة مية شوف لي ألفين, דש וצעמיה שוב להלזין
مرحبا مرحبا مرحبا, مرحباً مرحباً
معناها بالنسبة ليك كان نلخص كلامك آه سند انت بالنسبة ليك اليوم التونسي نفسانيا تاعب وعدائي, يعني بالنسبة لي كان لخص كلامك سند أنت بالنسبة لي اليوم التونسي نفسني ينتعب وعدائي
معانا نزار شخ من تونس مك مرحبا, معنا نيزار من تونس مرحبا
معناها ده كولاغ معاه في المدرسة جاونا اليوم قالوا لنا ما تسكتوش على حق اولادهم, معناها دي كوليغ معافل ما درسا منا اليوم قلنا ما درسكتوش على حق ولادكم
بيرو المعلم ما فيه حتى شيء لوحة و, بيرو والمعلم ما فيه حتى شيء لوحة
في هذا الكل الولي زادا يقتل روحو باش صغيرو يكون حاضر للعودة يتسلف باش يشري فورنيتر شكون يدفع الثمن في الاخر التلامذة بيان سور في وسط العام و في آخر العام و هذا نرجعوا لو مرة اخرى في مواضيع اخرين, في هذا الكل الولي يزداد يقتل روحه باش صغيره يكون حاضر للعودة يتسلف باش يشري الفورنيتور شكون يدفع الثمن في الاخر اتلامبه بيان سور في وسط العام واخر العام وهذا نرجعه له مرة اخرى في مواضيع اخرى
أغلبية معناها التلامذة ما رسمتش, أغلبية معنى إسلام زي ما رسمت
كون في ال رنتره السنة الدراسية تكون على الأقل, في الفتحة الدراسية تكون على الأقل
إلا أنو المسافة بعيدة و الشركة التونسية لتوزيع المياه تقول لك أنا, لأن المسافة بعيدة والشركة التونسية للتوزيع المياه تقول لك أنا
بالسلامة, bis lema
أربعطاش, 14
عايش في الخيال, هايش في الخيال
عنب, آنب
عنصري, oh une souris
عطريا, a3ja
ثناش, снашь
خشم, חשם
خاتم, хаттам
حقة, حقا
حلوف خبيث, حلو خبير
حوات, how it
حزار, حزار
حبلى حامل, حبلة حامل
قريات, kariyeriz
قاضي, قاوية
بلاروسيا, bellarussia
إسبانيا, hiszpania
الصومال, es su mal
الهند, lent
نمسا, nemse
أكرانيا, ukraina
سويسرا, suisse là
يا ممو عينيا,山もあいなや
أصلي, asli
عالسلامة يسلمك, عسلما يسلمك
بالفرحة, بالفرحة
بابا, baba
بنفسجي, banaf sajji
بيلت, bayalt
بشع خايب يعيف, بشع خايب يعيف
بقر, бгар
بيرو, biro
بليد, bleed
بوفي, buffet
بوسا, vous ça
شفما جديد, je suis à majdid
شكون, scună
شنوا آش, shnoa ish
شنوا هذا, شنوه هذا؟
دبوزة, dabouza
dictionnaire, dictionnaire
ديون, dune
العشية, lasche ihr
نعزك برشا, نازك برشا
فديت ملا فدا, fadit malafada
فمة ثمة, femme femme
فروج, farouj
فكرة, فكرة
فرشتا فراشة, فرشيتا فراشت
غاز, gaz
غراب, غراب
حاد, حد
حر,春
هوما, houma
جلسة, j'aime ça
جرح, жиры
جواب, jouèbe
كراتي, karaté
كبير, кбир
كينو, que y atil de nouveau
خزانة, ich sehne
كرهبة كراهب, كرهبة كراهب
محل تجارى تجارى, محل تجارة تجارة
مقفول و كسكاس, merci qu'estce que c'est
مرحبا, مرحباً
متواضع, metładza
ميتين, me too
ممتاز, montez
موسيقى موزيكا, musica musica
نعرسو, نهار سوء
ناشط خفيف رشيق, ناشط خفيف رشيق
نمل, نملة
نهارك زين, nare gzin
نمر, nömr
أوتوروت, autoroute
بابايا, papaya
قبل, قبل
رغم انو, l'arme à nous
رقبة, رقبة
رياضه, riyada
rouge, ружь
صعيب, saïb
سامحني دزولي, samahni désolée
صبع صوابع, svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svoje svo svoje svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo svo
صفر, sfâr
صغير, срежь
سياده, съеда
سلاطة, zlata
سميد, smid
سكر, сокор
صندوق إدخار, صندوق اديخار
سباغيتي, spaghetti
سوايع, 수혜야
طبلا, табло
تنين, ténile
تسعميه, c'était saintramier
طفل, twol
ثلج, sen ne şanslısın
ثلاثة, schleser
تمر, اشتركوا في القناة
أيه, aí
فرنسوية, францауия
خمسة, خمسة
حداش, 11
واحد و عشرين, واحد وعشرين
خمسين, خمسين
ترد بالك, тротт беллик
واحد و عشرين ألف, 21000
واحد و ثلاثين ألف, 31 ألف
وزير أول, وزير أول
ولد, ويلت
و انت, 웬지
يتعاود ديما, يتعاود ديما
زعما زعما, zama zama
زرزومية, زرزومه یه
كان إبراهيم راجل صالح و يعرف ربي و كان زادا راجل غني برشا نهار من نهارات شاف إبراهيم منامة ظهرلو فيها ربي باش يقلو ما تخافش يا إبراهيم أنا باش نحميك, كان إبراهيم رجل صالح ويعرف ربي وكان زيده رجل غني برشا نهار من نهارات شاف إبراهيم منامة نظهر له فيها ربي باش يقول له ما تخافش يا إبراهيم أنا باش نحميك
